GENUS_SPECIES,Authority,COMMON.NAME,JP NAME,Pest Type,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Trypoxylus dichotomus septentrionalis,"NA","NA",ã‚«ãƒ–ãƒˆãƒ ã‚·,"NA",Coleoptera,"NA",Scarabaeidae,1979,"NA",Wood (æ˜†è™«ãƒžãƒƒãƒˆï¼Ÿ),Palearctic(Asia),"Yamanaka, 2015"
Xyleborus lewisi,"NA","NA",ãƒ«ã‚¤ã‚¹ã‚¶ã‚¤ãƒŽã‚­ã‚¯ã‚¤ãƒ ã‚·,Wood,Coleoptera,"NA",Scolytidae,2011,"NA",Fungus,Palearctic(Asia),"Yamanaka, 2015"
Ahasverus advena,(Waltl),foreign grain beetle,ã‚«ãƒ‰ã‚³ãƒ–ãƒ›ã‚½ãƒ’ãƒ©ã‚¿ãƒ ã‚·,Stored,Coleoptera,"NA",Silvanidae,"NA","NA",Seeds: Fungus,Palearctic(Asia),"Yamanaka, 2015"
Cryptomorpha desjardinsi,(GuÃ©rin-MÃ©neville),"NA",ãƒ¢ãƒ³ã‚»ãƒžãƒ«ãƒ›ã‚½ãƒ’ãƒ©ã‚¿ãƒ ã‚·,Stored,Coleoptera,"NA",Silvanidae,"NA","NA",Unkown,Palearctic(Asia),"Yamanaka, 2015"
Monanus concinnulus,(Walker),"NA",ãƒãƒ“ã‚»ãƒžãƒ«ãƒ›ã‚½ãƒ’ãƒ©ã‚¿ãƒ ã‚·,Stored,Coleoptera,"NA",Silvanidae,1977,"NA",Seeds,Pantropic,"Yamanaka, 2015"
Astenus chloroticus,"NA","NA",ãƒ¤ãƒžãƒˆã‚·ãƒªã‚°ãƒ­ãƒãƒã‚«ã‚¯ã‚·,"NA",Coleoptera,"NA",Staphylinidae,"NA","NA",Insect,Palearctic(Asia),"Yamanaka, 2015"
Alphitobius diaperinus,(Panzer),lesser mealworm beetle:lesser mealworm,ã‚¬ã‚¤ãƒžã‚¤ã‚´ãƒŸãƒ ã‚·ãƒ€ãƒžã‚·,Stored,Coleoptera,"NA",Tenebrionidae,1957,"NA",Seeds,Afrotropic,"Yamanaka, 2015"
Alphitobius laevigatus,(Fabricius),black fungus beetle,ãƒ’ãƒ¡ã‚´ãƒŸãƒ ã‚·ãƒ€ãƒžã‚·,Stored,Coleoptera,"NA",Tenebrionidae,1957,"NA",Seeds,Indomalaya Afrotropic Australasia,"Yamanaka, 2015"
Palorus subdepressus,(Wollaston),"NA",ã‚³ãƒ’ãƒ¡ã‚³ã‚¯ãƒŒã‚¹ãƒˆãƒ¢ãƒ‰ã‚­,Stored,Coleoptera,"NA",Tenebrionidae,1955,"NA",Seeds,Palearctic(Asia),"Yamanaka, 2015"
Tribolium castaneum,(Herbst),red-rust flour beetle :  red flour beetle:rust-red flour beetle:wee flour beetle:ferruginous flour beetle:brown grain beetle:red-brown rice-flour beetle,ã‚³ã‚¯ãƒŒã‚¹ãƒˆãƒ¢ãƒ‰ã‚­,Stored,Coleoptera,"NA",Tenebrionidae,1501,"NA",Seeds,Australasia,"Yamanaka, 2015"
Tribolium confusum,Jacquelin du Val,confused flour beetle:pollard weevil:American rice-flour beetle,ãƒ’ãƒ©ã‚¿ã‚³ã‚¯ãƒŒã‚¹ãƒˆãƒ¢ãƒ‰ã‚­,Stored,Coleoptera,"NA",Tenebrionidae,1953,"NA",Seeds,Afrotropic,"Yamanaka, 2015"
Tenebroides mauritanicus,(Linnaeus),cadelle,ã‚³ã‚¯ãƒŒã‚¹ãƒˆ,Stored,Coleoptera,"NA",Trogossitidae,"NA","NA",Seeds,Cosmopolitan,"Yamanaka, 2015"
Drosophila hydei,"NA","NA",ã‚«ã‚¹ãƒªã‚·ãƒ§ã‚¦ã‚¸ãƒ§ã‚¦ãƒã‚¨,Sanit,Diptera,ãƒã‚¨äºœç›®,Drosophilidae,"NA","NA",Detritivore,Cosmopolitan,"Yamanaka, 2015"
Drosophila hypocausta,"NA","NA",Drosophila hypocausta,Sanit,Diptera,ãƒã‚¨äºœç›®,Drosophilidae,1998,"NA",Detritivore,"NA","Yamanaka, 2015"
Drosophila immigrans,"NA","NA",ã‚ªã‚ªã‚·ãƒ§ã‚¦ã‚¸ãƒ§ã‚¦ãƒã‚¨,Sanit,Diptera,ãƒã‚¨äºœç›®,Drosophilidae,"NA","NA",Detritivore,Pantropic,"Yamanaka, 2015"
Drosophila kikkawai,"NA","NA",ãƒˆãƒ©ãƒ•ã‚·ãƒ§ã‚¦ã‚¸ãƒ§ã‚¦ãƒã‚¨,Sanit,Diptera,ãƒã‚¨äºœç›®,Drosophilidae,1965,"NA",Detritivore,"NA","Yamanaka, 2015"
