genus_species,AUTHOR,COMMON.NAME,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,PHAGY,Source,eradicated
Azaleothrips siamensis,"NA",Thrip,Thysanoptera,"NA",Phlaeothripidae,2016,"NA","NA","NA","NA",Mound et al. (2017),NA
Coremothrips pallidus,"NA",Thrip,Thysanoptera,"NA",Thripidae,2016,"NA","NA","NA","NA",Mound et al. (2017),NA
Cyrtogenius brevior,"NA",Bark beetle,Coleoptera,"NA",Curculionidae,2016,"NA","NA","NA","NA",Evenhuis et al. (2018),NA
Hypothenemus brunneus,"NA",Bark beetle,Coleoptera,"NA",Curculionidae,2016,"NA","NA","NA","NA",Evenhuis et al. (2018),NA
Sophiothrips annulatus,"NA",Thrip,Thysanoptera,"NA",Phlaeothripidae,2016,"NA","NA","NA","NA",Mound et al. (2017),NA
Conoderus posticus,"NA",Click beetle,Coleoptera,"NA",Elateridae,2015,"NA","NA","NA","NA",Johnson et al. (2017),NA
Oryctes rhinoceros,Linnaeus,rhinoceros beetle,Coleoptera,"NA",Scarabaeidae,2013,"NA","NA",Indomalaya Palearctic(Asia),"NA",Hawaii Invasive Species Council website,NA
Secusio extensa,"NA",Moth,Lepidoptera,"NA",Arctiidae,2013,I,"NA","NA","NA",Krushelnycky et al. (2018),NA
Zaprionus indianus,"NA",African fig fly,Diptera,"NA",Drosophilidae,2013,"NA","NA","NA","NA",Willbrand et al. (2018),NA
Paratachardina pseudolobata,"NA",Lobate lac scale,Hemiptera,"NA",Kerriidae,2012,"NA","NA","NA","NA",Cheng and Bhandari (2015),NA
Greenidea ficicola,"NA",Aphid,Hemiptera,"NA",Aphididae,2011,"NA","NA","NA","NA",Nagamine and Garcia (2012),NA
Aethina tumida,"NA",Small hive beetle,Coleoptera,"NA",Nitidulidae,2010,"NA","NA","NA","NA",CABI Invasive Species Compendium (2017bb),NA
Horridipamera inconspicua,a seedbug,"NA",Hemiptera,"NA",Lygaeidae,2009,"NA","NA",Palearctic(Asia),"NA","Matsunaga, 2019",NA
Hypothenemus hampei,"NA",Coffee berry borer,Coleoptera,"NA",Curculionidae,2010,"NA","NA","NA","NA",Matsunaga (2014a),NA
Lasioglossum microlepoides,"NA",Sweat bee,Hymenoptera,"NA",Halictidae,2010,"NA","NA","NA","NA",Magnacca et al. (2013),NA
Oraesia excavata,a fruit-piercing moth,"NA",Lepidoptera,"NA",Noctuidae,2009,"NA","NA",Palearctic(Asia),"NA","Matsunaga, 2019",NA
Blosyrus asellus,"NA","NA",Coleoptera,"NA",Curculionidae,2009,"NA","NA",Okinawa Palearctic(Asia),"NA",HDOA New Pest Advisory - A Rough Sweetpotato Weevil (March 2011),NA
Klambothrips myopori,"NA",Myoporum thrip,Thysanoptera,"NA",Phlaeothripidae,2009,"NA","NA","NA","NA",Conant et al. (2009),NA
Drosophila nasutoides,"NA",Pomace fly,Diptera,"NA",Drosophilidae,2008,"NA","NA","NA","NA",Leblanc et al. (2009),NA
Xyleborinus andrewesi,(Blandford),"NA",Coleoptera,"NA",Curculionidae,2008,"NA","NA",Indomalaya,"NA",Cognato & Rubinoff 2008,NA
Cyclocephala pasadenae,"NA",Pasadena masked chafer,Coleoptera,"NA",Scarabaeidae,2007,"NA","NA","NA","NA",Jameson et al. (2009),NA
Hylaeus strenuus,"NA",Plasterer bee,Hymenoptera,"NA",Colletidae,2007,"NA","NA","NA","NA",Magnacca et al. (2011),NA
Temnorhynchus retusus,"NA",Dung beetle,Coleoptera,"NA",Dynastidae,2007,"NA","NA","NA","NA",Jameson et al. (2009),NA
Aleuroglandulus subtilis,"NA",Whitefly,Hemiptera,"NA",Aleyrodidae,2006,"NA","NA","NA","NA",Stocks (2014a),NA
Androthrips ramachandrai,"NA",Thrip,Thysanoptera,"NA",Phlaeothripidae,2006,"NA","NA","NA","NA",Boyd and Held (2006),NA
Dactylopius opuntiae,(Cockerell),"NA",Hemiptera,"NA",Dactylopiidae,2006,I,"NA",Nearctic,"NA","Funasaki et al (1988) A review of biological control introductions in Hawaii: 1890 to 1985. Proceedings of Hawaii Entomological Society 28: 105-160
Githure et al (1999) Host specificity of biotypes of Dactylopius opuntiae (Cockerell)(Hemiptera: Dactylopiidae): prospects for biological control of Opuntia stricta (Haworth) Haworth (Cactaceae) in Africa. African Entomology 7(1): 43-48",NA
Delottococcus confusus,"NA",a mealy bug,Hemiptera,"NA",Pseudococcidae,2009,"NA","NA",Afrotropic,"NA","Matsunaga, 2019",NA
Encarsia diaspidicola,"NA",Parasitic wasp,Hymenoptera,"NA",Aphelinidae,2006,"NA","NA","NA","NA",Follett et al. (2015),NA
Kiefferulus longilobus,"NA",Midge,Diptera,"NA",Chironomidae,2006,"NA","NA","NA","NA",Carlton and Eldredge (2015),NA
Strongylium cultellatum,"NA",Darkling beetle,Coleoptera,"NA",Tenebrionidae,2006,"NA","NA","NA","NA",Samuelson and Howarth (2012),NA
Thrips parvispinus,"NA",Thrip,Thysanoptera,"NA",Thripidae,2006,"NA","NA","NA","NA",Mound et al. (2016),NA
Eriococcus ironsidei,"NA",Macadamia felted coccid,Hemiptera,"NA",Eriococcidae,2005,"NA","NA","NA","NA",Conant et al. (2005),NA
Lasioglossum imbrex,"NA",Bee,Hymenoptera,"NA",Halictidae,2005,"NA","NA","NA","NA",Magnacca et al. (2013),NA
Quadrastichus erythrinae,"NA",Erythrina gall wasp,Hymenoptera,"NA",Eulophidae,2005,"NA","NA","NA","NA",Heu et al. (2008),NA
Fiorinia phantasma,"NA",Phantasma scale,Hemiptera,"NA",Diaspididae,2004,"NA","NA","NA","NA",Ahmed and Miller (2018),NA
Paracoccus marginatus,"NA",Papaya mealybug,Hemiptera,"NA",Pseudococcidae,2004,"NA","NA","NA","NA",Heu et al. (2007),NA
Aleurodicus dugesii,"NA",Giant whitefly,Hemiptera,"NA",Aleyrodidae,2002,"NA","NA","NA","NA",Heu et al. (2004),NA
Cercyon fimbriatus,"NA",Water scavenger beetle,Coleoptera,"NA",Hydrophilidae,2001,"NA","NA","NA","NA",Carlton and Eldredge (2009),NA
Corythucha gossypii,"NA",Cotton lace bug,Hemiptera,"NA",Tingidae,2001,"NA","NA","NA","NA",Miller and Nagamine (2005),NA
Darna pallivitta,"NA",Nettle caterpillar,Lepidoptera,"NA",Limacodidae,2001,"NA","NA","NA","NA",Conant et al. (2008),NA
Glycaspis brimblecombei,"NA",Red gum lerp psyllid,Hemiptera,"NA",Aphalaridae,2001,"NA","NA","NA","NA",Valente and Hodkinson (2009),NA
Specularius impressithorax,"NA",African bruchid beetle,Coleoptera,"NA",Chrysomelidae,2001,"NA","NA","NA","NA",Medeiros et al. (2008),NA
Achradocera arcuata,(Van Duzee),"NA",Diptera,"NA",Dolichopodidae,2000,"NA","NA",Nearctic,"NA",Bickel (2000) Bishop Museum Occasional Papers 64: 15. Nishida(2002),NA
Alaptus globosicornis,Girault,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA",Australasia,"NA",Nishida(2002),NA
Alaptus sp1,of Beardsley and Huber,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Alaptus sp2,of Beardsley and Huber,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Alaptus sp3,of Beardsley and Huber,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Alaptus sp4,of Beardsley and Huber,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Alaptus sp6,of Beardsley and Huber,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Alaptus sp7,of Beardsley and Huber,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Anagrus empoascae,Dozier,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Anagrus takeyanus,Gordh,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Brentiscerus australis,(Bergroth),"NA",Hemiptera,"NA",Rhyparochromidae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Calathus ruficollis,Dejean,Ground beetle,Coleoptera,"NA",Carabidae,2000,"NA","NA",Nearctic,"NA","Liebherr & Zimmerman (2000) Proceedings of the Hawaiian Entomological Society 16: 465.
Chatzimanolis and Caterino (2007) Limited phylogeographic structure in the flightless ground beetle Calathus ruficollis in southern California. Diversity and Distributions 13: 498â€“509",NA
Camptoptera sp1,of Beardsley and Huber,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Camptoptera sp2,of Beardsley and Huber,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Camptoptera sp3,of Beardsley and Huber,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Cedusa sp.,-,"NA",Hemiptera,"NA",Derbridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Chaetomymar bagicha,(Narayanan Subba Rao and Kaur),"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA",Indomalaya,"NA",Beardsley (2000) Key to Genera of Mymaridae in the Hawaiian Islands with Notes on Some of the Species (Hymenoptera: Chalcidoidea). Proc. Hawaiian Entomol. Soc. 34:1â€“22,NA
Cleruchus sp.,of Beardsley and Huber,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Conicera formosensis,Brues,"NA",Diptera,"NA",Phoridae,2000,"NA","NA","NA","NA",Bryan Jr. (1923) (as Conicera formosensis [misidentification]) Proceedings of the Hawaiian Entomological Society 5(2): 340.  Nishida(2002).,NA
Dicopus psyche,Girault,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA",Oceania,"NA",Nishida(2002),NA
Encarsia nigricephala,Dozier,"NA",Hymenoptera,"NA",Aphelinidae,2000,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Erythmelus funiculi,(Annecke and Doutt),"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA",Afrotropic,"NA",http://www.nhm.ac.uk/research-curation/research/projects/chalcidoids/database/detail.dsml?FamilyCode=M&VALAUTHOR=%28Annecke+%26+Doutt%29&VALGENUS=Erythmelus&HOMCODE=0&VALDATE=1961&VALSPECIES=funiculi&ValidAuthBracket=false&&listPageURL=listChalcids%2edsml%3fSuperfamily%3dChalcidoidea%26Family%3dMymaridae%26Genus%3dErythmelus&tab=distribution,NA
Erythmelus sp1,of Beardsley and Huber,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Erythmelus sp2,of Beardsley and Huber,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Erythmelus sp3,of Beardsley and Huber,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Gonatocerus dolichocerus,Ashmead,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Gonatocerus pygmaeus,Girault,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Gonatocerus sp1,of Huber and Beardsley,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Gonatocerus sp2,of Huber and Beardsley,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Gonatocerus sp3,of Huber and Beardsley,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Gonatocerus sp4,of Huber and Beardsley,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Kallitaxila granulata,(Stal),"NA",Hemiptera,"NA",Tropiduchidae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Mestolobes sp.,-,"NA",Lepidoptera,"NA",Crambidae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Mymar taprobanicum,Ward,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA",Palearctic(Europe) Afrotropic Australasia,"NA",Baquero (2002) Contribution to the knowledge of the family Mymaridae Haliday (Hymenoptera: Chalcidoidea) in Navarra North of Iberian penÃ­nsula. Boln. Asoc. esp. Ent. 26: 75-91,NA
Ooctonus sp.,of Beardsley and Huber,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Palaeomymar sp.,of Beardsley Huber and Perreira,"NA",Hymenoptera,"NA",Mymarommatidae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Schizophragma bicolor,(Dozier),"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA",Nearctic Neotropic,"NA",Nishida(2002),NA
Stethynium sp1,of Beardsley and Huber,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Stethynium triclavatum,Enock,"NA",Hymenoptera,"NA",Mymaridae,2000,"NA","NA",Palearctic(Asia) Palearctic(Europe) Neotropic,"NA",Nishida(2002),NA
Syndelphax disonymus,(Kirkaldy),"NA",Hemiptera,"NA",Delphacidae,2000,"NA","NA",Indomalaya Australasia Afrotropic,"NA","Nishida(2002)
Asche (2000) New State Records of Immigrant Planthoppers in Hawaii (Homoptera: Fulgoroidea). Proc Hawaii Entomol Soc 34:185â€“187",NA
Trypoxylon sp.,of Beardsley and Perreira,"NA",Hymenoptera,"NA",Sphecidae,2000,"NA","NA","NA","NA",Nishida(2002),NA
Acythopeus burkhartorum,"NA",Ivy gourd stem gallmaker,Coleoptera,"NA",Curculionidae,1999,I,"NA","NA","NA",Culliney et al. (2003),NA
Acythopeus coccineae,"NA",Weevil,Coleoptera,"NA",Curculionidae,1999,I,"NA","NA","NA",Conant et al. (2011),NA
Aeptencyrtus bruchi,(De Santis),"NA",Hymenoptera,"NA",Encyrtidae,1999,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Ceropales maculata,Fox,"NA",Hymenoptera,"NA",Pompilidae,1999,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Chlorocytus longiscapus,Graham,"NA",Hymenoptera,"NA",Pteromalidae,1999,"NA","NA",Palearctic(Europe),"NA",Mitroiu (2005) Pteromalidae (Hymenoptera: Chalcidoidea) New to Romania (II). Analele Stiintifice ale Universitatii Al.I. Cuza Iasis. Biologie animala. Tom LI,NA
Decachaetophora aeneipes,(Meijere),"NA",Diptera,"NA",Sepsidae,1999,"NA","NA",Palearctic(Asia),"NA",Takumi (1999) (as Decachaetophora aenipes (sic)) Bishop Museum Occasional Papers 59: 32. Nishida(2002),NA
Dicarnosis ripariensis,Kerrich,"NA",Hymenoptera,"NA",Encyrtidae,1999,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Drosophila quadrilineata,(Meijere),"NA",Diptera,"NA",Drosophilidae,1999,"NA","NA",Indomalaya,"NA",Beardsley et al. (1999) Bishop Museum Occasional Papers 58: 54. Nishida (2002).,NA
Elaphropeza sp.,of Beardsley et al,"NA",Diptera,"NA",Hybotidae,1999,"NA","NA","NA","NA",Beardsley et al. (1999) Bishop Museum Occasional Papers 58: 54. Nishida (2002).,NA
Encarsia perplexa,"NA",Parasitic wasp,Hymenoptera,"NA",Aphelinidae,1999,I,"NA","NA","NA",Culliney et al. (2003),NA
Eretmocerus sp.,-,"NA",Hymenoptera,"NA",Aphelinidae,1999,"NA","NA",Palearctic(Asia) Neotropic,"NA",Nishida(2002),NA
Gonatocerus membraciphagus,[of Beardsley],"NA",Hymenoptera,"NA",Mymaridae,1999,"NA","NA","NA","NA",Nishida(2002),NA
Gonatocerus ornatus,Gahan,"NA",Hymenoptera,"NA",Mymaridae,1999,"NA","NA","NA","NA",Nishida(2002),NA
Gonatocerus sp.,-,"NA",Hymenoptera,"NA",Mymaridae,1999,"NA","NA","NA","NA",Nishida(2002),NA
Incisitermes minor,(Hagen),western drywood termite :  Western drywood termite,Isoptera,"NA",Kalotermitidae,1999,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Lasioglossum impavidum,"NA",Halictid bee,Hymenoptera,"NA",Halictidae,1999,"NA","NA","NA","NA",Snelling (2003),NA
Liriomyza blechi,[sp. near]Spencer,"NA",Diptera,"NA",Agromyzidae,1999,"NA","NA","NA","NA",Beardsley et al. (1999) (as Liriomyza sp. nr. blechi) Bishop Museum Occasional Papers 58: 51. Nishida(2002),NA
Meromyza communis,Fedoseeva,"NA",Diptera,"NA",Chloropidae,1999,"NA","NA",Nearctic,"NA",Beardsley et al. (1999) Bishop Museum Occasional Papers 58: 53. Nishida(2002),NA
Mompha trithalama,"NA",Moth,Lepidoptera,"NA",Momphidae,1999,I,"NA","NA","NA",Culliney et al. (2003),NA
Sigaloessa hillifera,Sabrosky,"NA",Diptera,"NA",Asteiidae,1999,"NA","NA",Neotropic,"NA",Beardsley et al. (1999) (as Sigaloessa sp.) Bishop Museum Occasional Papers 58: 52. Nishida(2002),NA
Spilochroa ornata,(Johnson),"NA",Diptera,"NA",Heleomyzidae,1999,"NA","NA",Nearctic,"NA",Beardsley et al. (1999) Bishop Museum Occasional Papers 58: 54. Nishida (2002).,NA
Trichrysis luzonica,(Mocsary),"NA",Hymenoptera,"NA",Chrysididae,1999,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Valenzuela badiostigma,(Okamoto),"NA",Psocoptera,"NA",Caeciliusidae,1999,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Wasmannia auropunctata,(Roger),Mediterranean Seed Bug,Hymenoptera,"NA",Formicidae,1999,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Altica torquata,Le Conte,"NA",Coleoptera,"NA",Chrysomelidae,1998,"NA","NA",Nearctic,"NA",Samuelson (1998) Bishop Museum Occasional Papers 56: 28.,NA
Aphytis acutaspidis,Rosen and DeBach,"NA",Hymenoptera,"NA",Aphelinidae,1998,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Bactrocera latifrons,(Hendel),"NA",Diptera,"NA",Tephritidae,1998,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Ceratina smaragdula,"NA",Small carpenter bee,Hymenoptera,"NA",Apidae,1998,"NA","NA","NA","NA",Snelling (2003),NA
Clastoptera xanthocephala,Germar,"NA",Hemiptera,"NA",Clastopteridae,1998,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Corticaria longicollis,Zetterstedt,"NA",Coleoptera,"NA",Lathridiidae,1998,"NA","NA",Palearctic(Europe),"NA","Nishida(2002)
Sherwood Forest Nottinghamshire (2011) A review of the saproxylic invertebrate assemblages at Birklands and Bilhaugh Sites of Special Scientific Interest. Natural England Commissioned Report NECR072",NA
Crocothemis servilia,(Drury),Scarlet Skimmer,Odonata,"NA",Libellulidae,1998,"NA","NA",Palearctic(Asia),"NA",Englund (2002) The Loss of Native Biodiversity and Continuing Nonindigenous Species Introductions in Freshwater Estuarine and Wetland Communities of Pearl Harbor Oahu Hawaiian Islands. Estuaries: 418-430,NA
Disclisioprocta stellata,(Guenee),"NA",Lepidoptera,"NA",Geometridae,1998,"NA","NA","NA","NA",Nishida(2002),NA
Dolichothrips nesius,[prob.]Stannard,"NA",Thysanoptera,"NA",Phlaeothripidae,1998,"NA","NA",Oceania,"NA",Nishida(2002),NA
Encarsia lutea,"NA",Parasitic wasp,Hymenoptera,"NA",Aphelinidae,1998,I,"NA","NA","NA",Culliney et al. (2003),NA
Encarsia nipponica,Silvestri,"NA",Hymenoptera,"NA",Aphelinidae,1998,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Frankliniella insularis,(Franklin),"NA",Thysanoptera,"NA",Thripidae,1998,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Helochares sp.,-,"NA",Coleoptera,"NA",Hydrophilidae,1998,"NA","NA","NA","NA",Samuelson (1998) Bishop Museum Occasional Papers 56: 30.,NA
Hercinothrips bicinctus,"NA",Thrip,Thysanoptera,"NA",Thripidae,1998,"NA","NA","NA","NA",Mound et al. (2016),NA
Hypera postica,(Gyllenhal),alfalfa weevil,Coleoptera,"NA",Curculionidae,1998,"NA","NA",Palearctic(Europe),"NA",Samuelson (1998) Bishop Museum Occasional Papers 56: 30.,NA
Neaspis sp.,-,"NA",Coleoptera,"NA",Trogossitidae,1998,"NA","NA","NA","NA",Samuelson(1998) Bishop Museum Occasional Papers 56: 33. Nishida(2002),NA
Niesthrea louisianica,Sailer,"NA",Hemiptera,"NA",Rhopalidae,1998,"NA","NA","NA","NA",Nishida(2002),NA
Parathroscinus sp.,-,"NA",Coleoptera,"NA",Limnichidae,1998,"NA","NA","NA","NA",Samuelson (1998) Bishop Museum Occasional Papers 56: 31.,NA
Philotrypesis sp.,-,"NA",Hymenoptera,"NA",Agaonidae,1998,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Planiocephalus flavicosta,(Stal),Jassus (Deltocephalus) f.,Hemiptera,"NA",Cicadellidae,1998,"NA","NA","NA","NA",Nishida(2002),NA
Poliaspoides formosanus,(Takahashi),"NA",Hemiptera,"NA",Diaspididae,1998,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Scirtothrips citri,(Moulton),"NA",Thysanoptera,"NA",Thripidae,1998,"NA","NA","NA","NA",Nishida(2002),NA
Sycophila sp.B,-,"NA",Hymenoptera,"NA",Eurytomidae,1998,"NA","NA","NA","NA",Nishida(2002),NA
Drosophila tamashiroi,Hardy,"NA",Diptera,"NA",Drosophilidae,1997,"NA","NA","NA","NA",Hardy (1965) Insects of Hawaii 12: 477-479. Nishida(2002),NA
Dynatopechus calandrodes,Zimmerman,Bean weevil,Coleoptera,"NA",Curculionidae,1997,"NA","NA","NA","NA",O'Brien (1997) U. S. Department of Agriculture Agriculture Handbook 529-143g: 7.,NA
Euxesta stigmatias,Loew,"NA",Diptera,"NA",Otitidae,1997,"NA","NA",Neotropic,"NA",Arakaki in Evenhuis (1997) Bishop Museum Occasional Papers 49: 31. Nishida(2002),NA
Gnathaphanus picipes,(Macleay),"NA",Coleoptera,"NA",Carabidae,1997,"NA","NA",Australasia,"NA",Samuelson et al. (1997) Bishop Museum Occasional Papers 49: 22.,NA
Phenolia tibialis,(Boheman),syn (Lasiodactylus tibialis),Coleoptera,"NA",Nitidulidae,1997,"NA","NA",Neotropic,"NA",Kumashiro & Heu (1997) Bishop Museum Occasional Papers 49: 14.,NA
Platydracus caliginosus,(Erichson),"NA",Coleoptera,"NA",Staphylinidae,1997,"NA","NA",Nearctic,"NA",Newton (1997) Bishop Museum Occasional Papers 49: 23. Nishida(2002),NA
Stenomicra,-,"NA",Diptera,"NA",Stenomicridae,1997,"NA","NA","NA","NA",Perreira & Kumashiro (1997) (as Stenomicra n.sp.) Bishop Museum Occasional Papers 49: 20. Nishida(2002),NA
Thysanococcus pandani,Stickney,"NA",Hemiptera,"NA",Halimococcidae,1997,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Trichomalopsis viridescens,(Walsh),"NA",Hymenoptera,"NA",Pteromalidae,1997,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Aleurocanthus woglumi,Ashby,Citrus Whitefly,Hemiptera,"NA",Aleyrodidae,1996,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Ceratina dentipes,"NA",Small carpenter bee,Hymenoptera,"NA",Apidae,1996,"NA","NA","NA","NA",Shell and Rehan (2018),NA
Condylostylus longicornis,(Fabricius),"NA",Diptera,"NA",Dolichopodidae,1996,"NA","NA",Nearctic,"NA",Grootaert & Evenhuis (1996) Bishop Museum Occasional Papers 49: 29. Nishida(2002),NA
Danothrips trifasciatus,Sakimura,"NA",Thysanoptera,"NA",Thripidae,1996,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Dasyrhicnoessa vockerothi,Hardy and Delfinado,"NA",Diptera,"NA",Tethinidae,1996,"NA","NA",Oceania,"NA",Nishida(2002),NA
Forcipomyia hygrophila,Kieffer,"NA",Diptera,"NA",Ceratopogonidae,1996,"NA","NA","NA","NA",Borkent (1996) Memoirs of the Entomological Society of Washington 18: 85. Nishida(2002),NA
Melittia oedipus,"NA",Moth,Lepidoptera,"NA",Sesiidae,1996,I,"NA","NA","NA",Conant et al. (2011),NA
Neoplea apopkana,(Drake and Chapman),"NA",Hemiptera,"NA",Pleidae,1996,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Pempelia genistella,"NA",Pyralid moth,Lepidoptera,"NA",Pyralidae,1996,I,"NA","NA","NA",Culliney et al. (2003),NA
Polistes jadwigae,Dalla Torre,Wasp,Hymenoptera,"NA",Vespidae,1996,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Psydrothrips luteolus,Nakahara and Tsuda,"NA",Thysanoptera,"NA",Thripidae,1996,"NA","NA","NA","NA",Nishida(2002),NA
Tachytrechus angustipennis,Parent,"NA",Diptera,"NA",Dolichopodidae,1996,"NA","NA",Nearctic,"NA",Evenhuis (1996) (as Tachytrechus sp.) Bishop Museum Occasional Papers 46: 27. Nishida(2002),NA
Torymus advenus,(Osten Sacken),"NA",Hymenoptera,"NA",Torymidae,1996,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Anisops kuroiwae,Matsumura,"NA",Hemiptera,"NA",Notonectidae,1995,"NA","NA",Indomalaya,"NA","Nishida(2002)
Zettel (2002) Additional notes on the Aphelocheiridae, Naucoridae and Notonectidae (Insecta: Heteroptera: Nepomorpha) of the Philippine Islands. Annalen des Naturhistorischen Museums in Wien B 104: 109-130",NA
Bactrocera ochrosiae,(Malloch),"NA",Diptera,"NA",Tephritidae,1995,"NA","NA","NA","NA",Nishida(2002),NA
Cercyon laminatus,Sharp,"NA",Coleoptera,"NA",Hydrophilidae,1995,"NA","NA",Palearctic(Asia),"NA",Hansen (1995) Pacific Science 49(3): 282.,NA
Coridromius variegatus,(Montrouzier),"NA",Hemiptera,"NA",Miridae,1995,"NA","NA",Palearctic(Europe),"NA",Nishida(2002),NA
Drosophila carbonaria,"NA",Pomace fly,Diptera,"NA",Drosophilidae,1995,"NA","NA","NA","NA",Leblanc et al. (2009),NA
Gronotoma adachiae,Beardsley,"NA",Hymenoptera,"NA",Eucoilidae,1995,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Hylaeus albonitens,(Cockerell),"NA",Hymenoptera,"NA",Colletidae,1995,"NA","NA",Australasia,"NA",Nishida(2002),NA
Iridomyrmex sp.,-,"NA",Hymenoptera,"NA",Formicidae,1995,"NA","NA","NA","NA",Nishida(2002),NA
Noteropagus obliquus,Orchymont,"NA",Coleoptera,"NA",Hydrophilidae,1995,"NA","NA",Indomalaya,"NA",Hansen (1995) Pacific Science 49(3): 280.,NA
Oosternum sharpi,Hansen,"NA",Coleoptera,"NA",Hydrophilidae,1995,"NA","NA",Neotropic,"NA",Hansen (1995) (as Oosternum costatum) Pacific Science 49(3): 284.,NA
Pelastoneurus lugubris,Loew,"NA",Diptera,"NA",Dolichopodidae,1995,"NA","NA",Nearctic,"NA",Evenhuis et al. (1995) (as Pelastoneurus sp.) Bishop Museum Technical Report 8: 67. Nishida(2002). Englund (2002) The loss of native biodiversity and continuing nonindigenous species introductions in freshwater estuarine and wetland communities of Pearl Harbor Oahu Hawaiian Islands. Estuaries 25: 418-430.,NA
Rhizoecus cacticans,(Hambleton),cacticans mealybug,Hemiptera,"NA",Pseudococcidae,1995,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Rhizoecus hibisci,(Kawai and Takagi),hybiscus ground mealybug,Hemiptera,"NA",Pseudococcidae,1995,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
