species,year,genus_species,source,Order,Family,Genus,Mode of introduction,Establishment indoors/outdoors,Eradicated after the initial establishment
Bemisia sp,1998,Bemisia sp,"Causton, 2006",NA,NA,NA,NA,NA,NA
Dialeurodes citrifolii (Morgan),2000,Dialeurodes citrifolii,"Causton, 2006",NA,NA,NA,NA,NA,NA
Acyrthosiphon bidenticola Smith,1991,Acyrthosiphon bidenticola,"Causton, 2006",NA,NA,NA,NA,NA,NA
Aphis coreopsidis (Thomas),1991,Aphis coreopsidis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Aphis craccivora Koch,1991,Aphis craccivora,"Causton, 2006",NA,NA,NA,NA,NA,NA
Aphis gossypii Glover,1991,Aphis gossypii,"Causton, 2006",NA,NA,NA,NA,NA,NA
Aphis nerii Boyer de Fonscolombe,1991,Aphis nerii,"Causton, 2006",NA,NA,NA,NA,NA,NA
Aphis spiraecola Patch,1991,Aphis spiraecola,"Causton, 2006",NA,NA,NA,NA,NA,NA
Aulacorthum circumfleuxum (Buckton),1992,Aulacorthum circumfleuxum,"Causton, 2006",NA,NA,NA,NA,NA,NA
Aulacorthum solani (Kaltenbach),1991,Aulacorthum solani,"Causton, 2006",NA,NA,NA,NA,NA,NA
Brevicoryne brassicae L.,2002,Brevicoryne brassicae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Hysteroneura setariae (Thomas),1991,Hysteroneura setariae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Myzus persicae (Sulzer),1991,Myzus persicae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pentalonia nigronervosa Coquerel,1991,Pentalonia nigronervosa,"Causton, 2006",NA,NA,NA,NA,NA,NA
Rhopalosiphum maidis (Fitch),1991,Rhopalosiphum maidis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Rhopalosiphum rufiabdominale (Sasaki),1991,Rhopalosiphum rufiabdominale,"Causton, 2006",NA,NA,NA,NA,NA,NA
Toxoptera citricida (Kirkaldy),2002,Toxoptera citricida,"Causton, 2006",NA,NA,NA,NA,NA,NA
Asterolecanium pustulans (Cockerell),1902,Asterolecanium pustulans,"Causton, 2006",NA,NA,NA,NA,NA,NA
Asterolecanium puteanum Russell,1973,Asterolecanium puteanum,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ceroplastes ?rusci (L),2001,Ceroplastes rusci,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ceroplastes cirripediformis Comstock,1975,Ceroplastes cirripediformis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ceroplastes floridensis Comstock,2001,Ceroplastes floridensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ceroplastes sinensis Del Guercio,2001,Ceroplastes sinensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Coccus hesperidum L.,1902,Coccus hesperidum,"Causton, 2006",NA,NA,NA,NA,NA,NA
"Coccus viridis (Green), green scale",1964,Coccus viridis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Parasaissetia nigra (Nietner),1964,Parasaissetia nigra,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pulvinaria psidii Maskell,2001,Pulvinaria psidii,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pulvinaria urbicola Cockerell,1964,Pulvinaria urbicola,"Causton, 2006",NA,NA,NA,NA,NA,NA
Saissetia coffeae (Walker),1902,Saissetia coffeae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Saissetia miranda (Cockerell & Parrott),1974,Saissetia miranda,"Causton, 2006",NA,NA,NA,NA,NA,NA
Saissetia neglecta De Lotto,1973,Saissetia neglecta,"Causton, 2006",NA,NA,NA,NA,NA,NA
Conchaspis angraeci Cockerell,2002,Conchaspis angraeci,"Causton, 2006",NA,NA,NA,NA,NA,NA
Aonidiella aurantii (Maskell),1998,Aonidiella aurantii,"Causton, 2006",NA,NA,NA,NA,NA,NA
Aonidiella orientalis (Newstead),2001,Aonidiella orientalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Aspidiotus destructor Signoret,1964,Aspidiotus destructor,"Causton, 2006",NA,NA,NA,NA,NA,NA
Aspidiotus excisus Green,2001,Aspidiotus excisus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Aspidiotus pacificus Williams & Watson,2001,Aspidiotus pacificus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Hemiberlesia lataniae (Signoret),1902,Hemiberlesia lataniae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Howardia biclavis (Comstock),1975,Howardia biclavis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ischnaspis longirostris (Signoret),2001,Ischnaspis longirostris,"Causton, 2006",NA,NA,NA,NA,NA,NA
Lepidosaphes beckii (Newman),1964,Lepidosaphes beckii,"Causton, 2006",NA,NA,NA,NA,NA,NA
Melanaspis odontoglossi (Cockerell),1902,Melanaspis odontoglossi,"Causton, 2006",NA,NA,NA,NA,NA,NA
Parlatoria crotonis Douglas,1975,Parlatoria crotonis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pinnaspis strachani Cooley,1923,Pinnaspis strachani,"Causton, 2006",NA,NA,NA,NA,NA,NA
Rutherfordia major (Cockerell),1975,Rutherfordia major,"Causton, 2006",NA,NA,NA,NA,NA,NA
Selenaspidus articulatus (Morgan),1973,Selenaspidus articulatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Unaspis citri (Comstock),2001,Unaspis citri,"Causton, 2006",NA,NA,NA,NA,NA,NA
Unaspis sp1,2001,Unaspis sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Icerya purchasi Maskell,1982,Icerya purchasi,"Causton, 2006",NA,NA,NA,NA,NA,NA
Orthezia insignis Bourne,1974,Orthezia insignis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Orthezia praelonga Douglas,1964,Orthezia praelonga,"Causton, 2006",NA,NA,NA,NA,NA,NA
Dysmicoccus boninsis (Kuwana),2001,Dysmicoccus boninsis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Dysmicoccus brevipes (Cockerell),2001,Dysmicoccus brevipes,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ferrisia virgata (Cockerell),1964,Ferrisia virgata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Geococcus coffeae Green,1964,Geococcus coffeae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Paracoccus solani Ezzat and McConnell,1998,Paracoccus solani,"Causton, 2006",NA,NA,NA,NA,NA,NA
Phenacoccus herreni Cox & Williams,2001,Phenacoccus herreni,"Causton, 2006",NA,NA,NA,NA,NA,NA
Phenacoccus parvus Morrison,1923,Phenacoccus parvus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Phenacoccus solenopsis Tinsley,2001,Phenacoccus solenopsis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Planococcus citri (Risso),1964,Planococcus citri,"Causton, 2006",NA,NA,NA,NA,NA,NA
Planococcus minor (Maskell),2000,Planococcus minor,"Causton, 2006",NA,NA,NA,NA,NA,NA
Cerataphis sp1,1991,Cerataphis sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Heteropsylla cubana Crawford,1999,Heteropsylla cubana,"Causton, 2006",NA,NA,NA,NA,NA,NA
Paracarsidara dugesii (Loew),1999,Paracarsidara dugesii,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pseudophacopteron sp1,2000,Pseudophacopteron sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pseudophacopteron sp2,2000,Pseudophacopteron sp2,"Causton, 2006",NA,NA,NA,NA,NA,NA
Aphytis acutaspidis Rosen and DeBach,1991,Aphytis acutaspidis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Archenomus imitatrix (Fullaway),1991,Archenomus imitatrix,"Causton, 2006",NA,NA,NA,NA,NA,NA
Centrodora mireyae (DeSantis),1991,Centrodora mireyae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Centrodora perkinsi (Waterston),1991,Centrodora perkinsi,"Causton, 2006",NA,NA,NA,NA,NA,NA
Coccophagus rusti Compere,1991,Coccophagus rusti,"Causton, 2006",NA,NA,NA,NA,NA,NA
Encarsia citrina Crawford,1991,Encarsia citrina,"Causton, 2006",NA,NA,NA,NA,NA,NA
Encarsia diaspidicola (Silvestri),1991,Encarsia diaspidicola,"Causton, 2006",NA,NA,NA,NA,NA,NA
Encarsia pergandiella Howard,1991,Encarsia pergandiella,"Causton, 2006",NA,NA,NA,NA,NA,NA
Brachymeria podagrica F.,1991,Brachymeria podagrica,"Causton, 2006",NA,NA,NA,NA,NA,NA
Conura femorata F.,1991,Conura femorata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Anagyrus trinidadensis (Kerrich),1991,Anagyrus trinidadensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Cheiloneurus elegans elegantissimus DeSantis,1991,Cheiloneurus elegans,"Causton, 2006",NA,NA,NA,NA,NA,NA
Orasema costaricensis W. and W.,1991,Orasema costaricensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Evania appendigaster L.,1989,Evania appendigaster,"Causton, 2006",NA,NA,NA,NA,NA,NA
Brachymyrmex sp1,2001,Brachymyrmex sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Cardiocondyla emeryi Forel,1981,Cardiocondyla emeryi,"Causton, 2006",NA,NA,NA,NA,NA,NA
Cardiocondyla nuda (Mayr),1981,Cardiocondyla nuda,"Causton, 2006",NA,NA,NA,NA,NA,NA
Cylindromyrmex striatus Mayr,1905,Cylindromyrmex striatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Monomorium destructor (Jerdon),1997,Monomorium destructor,"Causton, 2006",NA,NA,NA,NA,NA,NA
Monomorium floricola Jerdon,1924,Monomorium floricola,"Causton, 2006",NA,NA,NA,NA,NA,NA
Monomorium pharaonis L.,1905,Monomorium pharaonis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Odontomachus baurii Emery,1891,Odontomachus baurii,"Causton, 2006",NA,NA,NA,NA,NA,NA
Paratrechina guatemalensis itinerans (Forel),1899,Paratrechina guatemalensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Paratrechina longicornis (Latreille),1905,Paratrechina longicornis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Paratrechina vaga (Forel),1976,Paratrechina vaga,"Causton, 2006",NA,NA,NA,NA,NA,NA
Solenopsis geminata (F.),1891,Solenopsis geminata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Solenopsis globularia  (F. Smith),1906,Solenopsis globularia,"Causton, 2006",NA,NA,NA,NA,NA,NA
Solenopsis saevissima (F. Smith),1905,Solenopsis saevissima,"Causton, 2006",NA,NA,NA,NA,NA,NA
Strumigenys emmae (Emery),1997,Strumigenys emmae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Strumigenys louisianae Roger,1981,Strumigenys louisianae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Tapinoma melanocephalum F.,1891,Tapinoma melanocephalum,"Causton, 2006",NA,NA,NA,NA,NA,NA
Tetramorium bicarinatum (Nylander),1891,Tetramorium bicarinatum,"Causton, 2006",NA,NA,NA,NA,NA,NA
Tetramorium caldarium (Roger),1997,Tetramorium caldarium,"Causton, 2006",NA,NA,NA,NA,NA,NA
Tetramorium lanuginosum Mayr,1997,Tetramorium lanuginosum,"Causton, 2006",NA,NA,NA,NA,NA,NA
Tetramorium simillimum F. Smith,1905,Tetramorium simillimum,"Causton, 2006",NA,NA,NA,NA,NA,NA
Wasmannia auropunctata Roger,1967,Wasmannia auropunctata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Diplazon laetatorius F.,1985,Diplazon laetatorius,"Causton, 2006",NA,NA,NA,NA,NA,NA
Venturia canescens Gravenhorst,1985,Venturia canescens,"Causton, 2006",NA,NA,NA,NA,NA,NA
Anthidium sp1,2002,Anthidium sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Spalangia cameroni Perkins,1991,Spalangia cameroni,"Causton, 2006",NA,NA,NA,NA,NA,NA
Spalangia drosophilae (Ashmead),1991,Spalangia drosophilae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Spalangia endius Walker,1839,Spalangia endius,"Causton, 2006",NA,NA,NA,NA,NA,NA
Macrotelia absona,1991,Macrotelia absona,"Causton, 2006",NA,NA,NA,NA,NA,NA
Trissolcus teretis Johnson,1991,Trissolcus teretis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Brachygastra lecheguana (Latreille),1994,Brachygastra lecheguana,"Causton, 2006",NA,NA,NA,NA,NA,NA
Polistes v. versicolor (Olivier),1988,Polistes versicolor,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pyroderces rileyi (Walsingham),2000,Pyroderces rileyi,"Causton, 2006",NA,NA,NA,NA,NA,NA
Stenoma catenifer (Wals.),2001,Stenoma catenifer,"Causton, 2006",NA,NA,NA,NA,NA,NA
Sitotroga cerealella (Olivier),2001,Sitotroga cerealella,"Causton, 2006",NA,NA,NA,NA,NA,NA
Tuta absoluta (Meyrick),2002,Tuta absoluta,"Causton, 2006",NA,NA,NA,NA,NA,NA
Disclisioprocta stellata (GueneÂ´e),1923,Disclisioprocta stellata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Sphacelodes vulneraria (HuÂ¨ bner),1964,Sphacelodes vulneraria,"Causton, 2006",NA,NA,NA,NA,NA,NA
Triphosa affirmata (GueneÂ´e),1969,Triphosa affirmata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Zeuctostyla vidrierata Dognin,1990,Zeuctostyla vidrierata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Phyllocnistis citrella Stainton7,2005,Phyllocnistis citrella,"Causton, 2006",NA,NA,NA,NA,NA,NA
Calpodes ethlius (Stoll),1987,Calpodes ethlius,"Causton, 2006",NA,NA,NA,NA,NA,NA
Hemiargus ramon (Dognin),1995,Hemiargus ramon,"Causton, 2006",NA,NA,NA,NA,NA,NA
Bagisara repanda (F.),1970,Bagisara repanda,"Causton, 2006",NA,NA,NA,NA,NA,NA
Eublemma recta (GueneÂ´e),1975,Eublemma recta,"Causton, 2006",NA,NA,NA,NA,NA,NA
Heliocheilus cystiphora (Wallengren),1923,Heliocheilus cystiphora,"Causton, 2006",NA,NA,NA,NA,NA,NA
Paectes arcigera (GueneÂ´e),1923,Paectes arcigera,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ponometia exigua (F.),1975,Ponometia exigua,"Causton, 2006",NA,NA,NA,NA,NA,NA
Spragueia margana (F.),1923,Spragueia margana,"Causton, 2006",NA,NA,NA,NA,NA,NA
Plutella xylostella (L.),2004,Plutella xylostella,"Causton, 2006",NA,NA,NA,NA,NA,NA
Exelastis montichristi (Walsingham),1923,Exelastis montichristi,"Causton, 2006",NA,NA,NA,NA,NA,NA
Exelastis pumilio (Zeller),1992,Exelastis pumilio,"Causton, 2006",NA,NA,NA,NA,NA,NA
Lantanophaga pusillidactyla (Walk.),1923,Lantanophaga pusillidactyla,"Causton, 2006",NA,NA,NA,NA,NA,NA
Megalorhipida leucodactyla (F.),1923,Megalorhipida leucodactyla,"Causton, 2006",NA,NA,NA,NA,NA,NA
Stenoptilodes brevipennis (Zeller),1989,Stenoptilodes brevipennis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Agathodes designalis GueneÂ´e,1989,Agathodes designalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ancylostomia stercorea (Zeller),1989,Ancylostomia stercorea,"Causton, 2006",NA,NA,NA,NA,NA,NA
Asciodes quietalis (Walk.),1906,Asciodes quietalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Cadra cautella (Walk.),1975,Cadra cautella,"Causton, 2006",NA,NA,NA,NA,NA,NA
Corcyra cephalonica (Stainton),2002,Corcyra cephalonica,"Causton, 2006",NA,NA,NA,NA,NA,NA
â€œDiaphaniaâ€ glauculalis (GueneÂ´e),1968,Diaphania glauculalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Diaphania hyalinata (L.),1932,Diaphania hyalinata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Diaphania indica (Saunders),1964,Diaphania indica,"Causton, 2006",NA,NA,NA,NA,NA,NA
Diaphania nitidalis (Cram.),1964,Diaphania nitidalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Diatraea saccharalis (F.),2003,Diatraea saccharalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Etiella zinckenella (Tr.),1906,Etiella zinckenella,"Causton, 2006",NA,NA,NA,NA,NA,NA
Fundella argentina Dyar,1965,Fundella argentina,"Causton, 2006",NA,NA,NA,NA,NA,NA
Herpetogramma bipunctalis (F.),1992,Herpetogramma bipunctalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Herpetogramma phaeopteralis (GueneÂ´e),1970,Herpetogramma phaeopteralis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Hymenia perspectalis (HuÂ¨ bner),1906,Hymenia perspectalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Hypsipyla grandella (Zeller),1960,Hypsipyla grandella,"Causton, 2006",NA,NA,NA,NA,NA,NA
Lineodes integra (Zeller),1989,Lineodes integra,"Causton, 2006",NA,NA,NA,NA,NA,NA
Marasmia trapezalis (GueneÂ´e),1992,Marasmia trapezalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Neoleucinodes elegantalis (GueneÂ´e),2002,Neoleucinodes elegantalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ocrasa nostralis (GueneÂ´e),2003,Ocrasa nostralis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Omiodes indicata (F.),1989,Omiodes indicata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Penestola bufalis (GueneÂ´e),1906,Penestola bufalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pilocrocis ramentalis Lederer,1899,Pilocrocis ramentalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pyralis manihotalis GueneÂ´e,1989,Pyralis manihotalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pyrausta panopealis (Walker),1989,Pyrausta panopealis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Rhectocraspeda periusalis Walker,1989,Rhectocraspeda periusalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Samea castellalis GueneÂ´e,1964,Samea castellalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Sisyracera inabsconsalis (Moschler),1989,Sisyracera inabsconsalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Spoladea recurvalis (F.),1906,Spoladea recurvalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Syngamia florella (Cramer),1906,Syngamia florella,"Causton, 2006",NA,NA,NA,NA,NA,NA
Terastia meticulosalis GueneÂ´e,1964,Terastia meticulosalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Oecia oecophila (Staudinger),2001,Oecia oecophila,"Causton, 2006",NA,NA,NA,NA,NA,NA
Erechtias minuscula (Walsingham),1989,Erechtias minuscula,"Causton, 2006",NA,NA,NA,NA,NA,NA
Praeacedes atomosella Walker,2002,Praeacedes atomosella,"Causton, 2006",NA,NA,NA,NA,NA,NA
Setomorpha rutella Zeller,2001,Setomorpha rutella,"Causton, 2006",NA,NA,NA,NA,NA,NA
Trichophaga mormopis Meyrick,1966,Trichophaga mormopis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Xylesthia pruniramiella Clemens,1966,Xylesthia pruniramiella,"Causton, 2006",NA,NA,NA,NA,NA,NA
Bactra philocherda Diakonoff,1989,Bactra philocherda,"Causton, 2006",NA,NA,NA,NA,NA,NA
Crocidosema plebejana Zeller,1923,Crocidosema plebejana,"Causton, 2006",NA,NA,NA,NA,NA,NA
Episimus transferranus (Walker),1989,Episimus transferranus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Strepsicrates smithiana (Walsingham),1923,Strepsicrates smithiana,"Causton, 2006",NA,NA,NA,NA,NA,NA
Gryllodes sigillatus (Walker),1989,Gryllodes sigillatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Hygronemobius daphne Otte & Peck,1996,Hygronemobius daphne,"Causton, 2006",NA,NA,NA,NA,NA,NA
Jarmilaxipha ecuadorica Otte & Peck6,1970,Jarmilaxipha ecuadorica,"Causton, 2006",NA,NA,NA,NA,NA,NA
Copiphora brevicauda Karny,1989,Copiphora brevicauda,"Causton, 2006",NA,NA,NA,NA,NA,NA
"Menopon gallinae (L.), shaft louse24",1992,Menopon gallinae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Osborniella crotophagae (Stafford),1988,Osborniella crotophagae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pediculus humanus capitis De Geer,1992,Pediculus humanus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Goniodes dissimilis Denny,1992,Goniodes dissimilis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Lipeurus caponis (L.),1992,Lipeurus caponis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Vernoniella guimaraesi Thompson,1988,Vernoniella guimaraesi,"Causton, 2006",NA,NA,NA,NA,NA,NA
Polyplax spinulosa (Burmeister),1923,Polyplax spinulosa,"Causton, 2006",NA,NA,NA,NA,NA,NA
Bovicola (Bovicola) caprae (Gurlt),1992,Bovicola (Bovicola),"Causton, 2006",NA,NA,NA,NA,NA,NA
Archipsocus spinosus Thornton,1967,Archipsocus spinosus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Caecilius insularum,1967,Caecilius insularum,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ectopsocus maindroni Badonnel,1967,Ectopsocus maindroni,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ectopsocus meridionalis Ribaga,1967,Ectopsocus meridionalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ectopsocus richardsi Pearman,1967,Ectopsocus richardsi,"Causton, 2006",NA,NA,NA,NA,NA,NA
Lachesilla aethiopica Enderlein,1967,Lachesilla aethiopica,"Causton, 2006",NA,NA,NA,NA,NA,NA
Echmepteryx madagascariensis,1967,Echmepteryx madagascariensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Embidopsocus pauliani Badonnel,1967,Embidopsocus pauliani,"Causton, 2006",NA,NA,NA,NA,NA,NA
Liposcelis entomophila (Enderlein),2001,Liposcelis entomophila,"Causton, 2006",NA,NA,NA,NA,NA,NA
Peripsocus pauliani Badonnel,1967,Peripsocus pauliani,"Causton, 2006",NA,NA,NA,NA,NA,NA
Peripsocus stagnivagus Chapman,1967,Peripsocus stagnivagus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pseudocaecilius criniger Perkins,1967,Pseudocaecilius criniger,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pseudocaecilius tahitiensis Karny,1967,Pseudocaecilius tahitiensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Psoquilla marginepunctata Hagen,1967,Psoquilla marginepunctata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ctenocephalides felis (BoucheÂ´),1989,Ctenocephalides felis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pulex irritans L.,1989,Pulex irritans,"Causton, 2006",NA,NA,NA,NA,NA,NA
Tunga penetrans L.,1947,Tunga penetrans,"Causton, 2006",NA,NA,NA,NA,NA,NA
Merothrips morgani Hood,1989,Merothrips morgani,"Causton, 2006",NA,NA,NA,NA,NA,NA
Adraneothrips tibialis (Hood),1989,Adraneothrips tibialis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Haplothrips gowdeyi Franklin,1989,Haplothrips gowdeyi,"Causton, 2006",NA,NA,NA,NA,NA,NA
"Karnyothrips, near longiceps (Hood)",1989,"Karnyothrips, near","Causton, 2006",NA,NA,NA,NA,NA,NA
Strepterothrips floridanus Hood,1989,Strepterothrips floridanus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Frankliniella sp1,2001,Frankliniella sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Thrips sp1,1989,Thrips sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Thrips tabaci Lindeman,2001,Thrips tabaci,"Causton, 2006",NA,NA,NA,NA,NA,NA
Nicoletia meinerti Silvestri,1964,Nicoletia meinerti,"Causton, 2006",NA,NA,NA,NA,NA,NA
NA,NA,Acrolepiopsis jaspidata,"Causton, 2006",NA,NA,NA,NA,NA,NA
NA,NA,Asciodes gordialis,"Causton, 2006",NA,NA,NA,NA,NA,NA
NA,NA,Crocidosema synneurota,"Causton, 2006",NA,NA,NA,NA,NA,NA
NA,NA,Epinotia lantana,"Causton, 2006",NA,NA,NA,NA,NA,NA
NA,NA,Phereoeca allutella,"Causton, 2006",NA,NA,NA,NA,NA,NA
NA,NA,Unadilla maturella,"Causton, 2006",NA,NA,NA,NA,NA,NA
NA,1998,Bemisia tabaci,Causton et al 2006,Hemiptera,Aleyrodidae,Bemisia,Unintentional introduction,Establishment outdoors,Not eradicated
NA,2000,Singhiella citrifolii,Causton et al 2006,Hemiptera,Aleyrodidae,Singhiella,Unintentional introduction,Establishment outdoors,Not eradicated
NA,1964,Amphiareus constrictus,Causton et al 2006,Hemiptera,Anthocoridae,Amphiareus,Unintentional introduction,Establishment outdoors,Not eradicated
NA,1992,Neomyzus circumflexus,Causton et al 2006,Hemiptera,Aphididae,Neomyzus,Unintentional introduction,Establishment outdoors,Not eradicated
NA,2016,Toxoptera aurantii,Cañarte Bermúdez et al 2020,Hemiptera,Aphididae,Toxoptera,Unintentional introduction,Establishment outdoors,Not eradicated
NA,2016,Dalbulus maidis,Cañarte Bermúdez et al 2020,Hemiptera,Cicadellidae,Dalbulus,NA,NA,NA
NA,1932,Exitianus fasciolatus,Causton et al 2006,Hemiptera,Cicadellidae,Exitianus,Unintentional introduction,Establishment outdoors,Not eradicated
NA,2001,Protalebrella brasiliensis,Causton et al 2006,Hemiptera,Cicadellidae,Protalebrella,Unintentional introduction,Establishment outdoors,Not eradicated
NA,1925,Cimex lectularius,Causton et al 2006,Hemiptera,Cimicidae,Cimex,Unintentional introduction,Establishment outdoors,Not eradicated
NA,2006,Coccus longulus,Lincango et al 2010,Hemiptera,Coccidae,Coccus,Unintentional introduction,Establishment outdoors,Not eradicated
NA,2006,Inglisia vitrea,Lincango et al 2010,Hemiptera,Coccidae,Inglisia,Unintentional introduction,Establishment outdoors,Not eradicated
NA,2003,Metadelphax propinqua,Causton et al 2006,Hemiptera,Delphacidae,Metadelphax,Unintentional introduction,Establishment outdoors,Not eradicated
NA,2006,Pseudaonidia trilobitiformis,Lincango et al 2010,Hemiptera,Diaspididae,Pseudaonidia,Unintentional introduction,Establishment outdoors,Not eradicated
NA,1973,Selenaspidis articulatus,Causton et al 2006,Hemiptera,Diaspididae,Selenaspidis,Unintentional introduction,Establishment outdoors,Not eradicated
NA,1974,Insignorthezia insignis,Causton et al 2006,Hemiptera,Ortheziidae,Insignorthezia,Unintentional introduction,Establishment outdoors,Not eradicated
NA,1964,Praelongorthezia praelonga,Causton et al 2006,Hemiptera,Ortheziidae,Praelongorthezia,Unintentional introduction,Establishment outdoors,Not eradicated
NA,2005,Antiteuchus tripterus,CDF dataZone,Hemiptera,Pentatomidae,Antiteuchus,Unintentional introduction,Establishment outdoors,Not eradicated
NA,2002,Nipaecoccus nipae,Lincango et al 2010,Hemiptera,Pseudococcidae,Nipaecoccus,Unintentional introduction,Establishment outdoors,Not eradicated
NA,2008,Pseudococcus elisae,Lincango et al 2010,Hemiptera,Pseudococcidae,Pseudococcus,Unintentional introduction,Establishment outdoors,Not eradicated
NA,2008,Pseudococcus longispinus,Lincango et al 2010,Hemiptera,Pseudococcidae,Pseudococcus,Unintentional introduction,Establishment outdoors,Not eradicated
NA,2016,Spodoptera sunia,Cañarte Bermúdez et al. 2020,Lepidoptera,Noctuidae,NA,NA,NA,NA
