order,family,genus,species,genus.species,original.species.name,name.changed...1.yes..0..no.,tsn,rank,year,super.family,town,NZ.region,nz.area.code,origin,ecozone,current.distribution.cosmopolitan.,phagy,phagy.main,feeding.type,feeding.main,size.mm.,comment,eradicated,Intentional_Release,source,vagrant
Hemiptera,Diaspididae,Abgrallaspis,cyanophylli,Abgrallaspis cyanophylli,Abgrallaspis cyanophylli,0,200705,Species,1973,Coccoidea,Nelson,Nelson- Tasman,NN,S. Pacific,Oceania,Yes,polyphagous,Polyphagous,herbivore,Herbivore,1.3,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Curculionidae,Acallopais,rudis,Acallopais rudis,Acallopais rudis,0,NA,Species,1963,Curculionoidea,Mt Maunganui,Bay of Plenty,BP,NA,NA,NA,polyphagous,Polyphagous,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Coreidae,Acantholybas,brunneus,Acantholybas brunneus,Acantholybas brunneus,0,996262,Species,1939,Coreoidea,Auckland,Auckland,AK,Australia,Australasia,No,polyphagous,Polyphagous,herbivore,Herbivore,8,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Chrysomelidae,Acanthoscelides,obtectus,Acanthoscelides obtectus,Acanthoscelides obtectus,0,114506,Species,1935,Chrysomeloidea,Auckland,Auckland,AK,NA,NA,NA,polyphagous,Polyphagous,stored products,Stored products,3,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Membracidae,Acanthuchus,trispinifer,Acanthuchus trispinifer,Acanthuchus trispinifer,0,NA,Species,1971,Membracoidea,Kokiri,West Coast,BR,Australia,Australasia,No,polyphagous,Polyphagous,herbivore,Herbivore,4,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Achilidae,Achilus,flammeus,Achilus flammeus,Achilus flammeus,0,NA,Species,1946,Fulgoromorpha,Auckland,Auckland,AK,Australia,Australasia,No,unknown,NA,herbivore,Herbivore,1,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Pyralidae,Achroia,grisella,Achroia grisella,Achroia grisella,0,NA,Species,1908,NA,Wellington,Wellington,WN,S. Africa,Afrotropic,Yes,Animal products,Polyphagous,stored products,Stored Products,13,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Crambidae,Achyra,affinitalis,Achyra affinitalis,Achyra affinitalis,0,NA,Species,1973,NA,Taranaki,Taranaki,TK,Australia,Australasia,No,polyphagous,Polyphagous,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Psyllidae,Acizzia,acaciae,Acizzia acaciae,Acizzia acaciae,0,NA,Species,1922,Psylloidea,Governers Bay,Canterbury,MC,Australia,Australasia,No,monophagous,Monophagous,herbivore,Herbivore,1,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Psyllidae,Acizzia,acaciaebaileyanae,Acizzia acaciaebaileyanae,Acizzia acaciaebaileyanae,0,NA,Species,1922,Psylloidea,Governers Bay,Canterbury,MC,Australia,Australasia,Yes,g-oligophagous,Oligophagous,herbivore,Herbivore,1,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Psyllidae,Acizzia,albizziae,Acizzia albizziae,Acizzia albizziae,0,NA,Species,1922,Psylloidea,Riwaka,Nelson- Tasman,NN,Australia,Australasia,No,g-oligophagous,Oligophagous,herbivore,Herbivore,1,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Psyllidae,Acizzia,conspicua,Acizzia conspicua,Acizzia conspicua,0,NA,Species,1963,Psylloidea,Auckland,Auckland,Ak,Australia,Australasia,No,g-oligophagous,Oligophagous,herbivore,Herbivore,2.4,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Psyllidae,Acizzia,NA,Acizzia errabunda,NA,NA,NA,Species,2016,NA,NA,Auckland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Martoni, 2019",NA
Hemiptera,Psyllidae,Acizzia,exquisita,Acizzia exquisita,Acizzia exquisita,0,NA,Species,1921,Psylloidea,Nelson,Nelson- Tasman,NN,Australia,Australasia,No,g-oligophagous,Oligophagous,herbivore,Herbivore,1.3,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Psyllidae,Acizzia,NA,Acizzia frenchi,NA,NA,NA,Species,2013,NA,NA,Auckland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA
Hemiptera,Psyllidae,Acizzia,hakeae,Acizzia hakeae,Acizzia hakeae,0,NA,Species,1967,Psylloidea,Waipoua,Northland,ND,Australia,Australasia,No,f-oligophagous,Oligophagous,herbivore,Herbivore,1.8,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Psyllidae,Acizzia,jucunda,Acizzia jucunda,Acizzia jucunda,0,NA,Species,1962,Psylloidea,Waitakere,Auckland,AK,Australia,Australasia,No,g-oligophagous,Oligophagous,herbivore,Herbivore,2,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Psyllidae,Acizzia,solanicola,Acizzia solanicola,Acizzia solanicola,0,NA,Species,2012,Psylloidea,Auckland,Auckland,AK,Australia,Australasia,No,f-oligophagous,Oligophagous,herbivore,Herbivore,2.5,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Psyllidae,Acizzia,uncatoides,Acizzia uncatoides,Acizzia uncatoides,0,200470,Species,1922,Psylloidea,Riwaka,Nelson- Tasman,NN,Australia,Australasia,No,f-oligophagous,Oligophagous,herbivore,Herbivore,1.8,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Tortricidae,Acleris,comariana,Acleris comariana,Acleris comariana,0,NA,Species,1970,NA,Westport (NN CC),West Coast,BR,Europe,Palearctic,Yes,f-oligophagous,Oligophagous,herbivore,Herbivore,15,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Histeridae,Acritus,nigricornis,Acritus nigricornis,Acritus nigricornis,0,728884,Species,1976,Hydrophiloidea,Auckland,Auckland,AK,Europe,Palearctic,Yes,NA,NA,predator,Predator,1,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Gracillariidae,Acrocercops,alysidota,Acrocercops alysidota,Acrocercops alysidota,0,NA,Species,1880,NA,NA,NA,NA,Australia,Australasia,No,g-oligophagous,Oligophagous,herbivore,Herbivore,8,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Gracillariidae,Acrocercops,laciniella,Acrocercops laciniella,Acrocercops laciniella,0,NA,Species,1999,Gracillarioidea,Auckland,Auckland,AK,Australia,Australasia,No,g-oligophagous,Oligophagous,herbivore,Herbivore,8,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Staphylinidae,Acronota,aterrima,Acronota aterrima,Acronota aterrima,0,NA,Species,NA,Staphylinoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Staphylinidae,Acronota,lugens,Acronota lugens,Acronota lugens,0,NA,Species,NA,Staphylinoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Scarabaeidae,Acrossidius,tasmaniae,Acrossidius tasmaniae,Acrossidius tasmaniae,0,NA,Species,1916,Scarabaeoidea,Canterbury,Canterbury,NC,Australia,Australasia,No,polyphagous,Polyphagous,herbivore,Herbivore,11.5,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Ptiliidae,Acrotrichis,fascicularis,Acrotrichis fascicularis,Acrotrichis fascicularis,0,NA,Species,NA,Staphylinoidea,New Zealand',NA,NA,C,Cosmopolitan,Yes,NA,NA,herbivore,Herbivore,0.95,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Ptiliidae,Acrotrichis,inconspicua,Acrotrichis inconspicua,Acrotrichis inconspicua,0,NA,Species,1870,Staphylinoidea,Auckland,Auckland,AK,Australia,Australasia,No,NA,NA,herbivore,Herbivore,0.7,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Ptiliidae,Acrotrichis,insularis,Acrotrichis insularis,Acrotrichis insularis,0,NA,Species,1912,Staphylinoidea,Wellington,Wellington,WN,N. America,Nearctic,Yes,NA,NA,herbivore,Herbivore,0.9,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Ptiliidae,Acrotrichis,josephi,Acrotrichis josephi,Acrotrichis josephi,0,NA,Species,1947,Staphylinoidea,Auckland Is.,NA,NA,N. America,Nearctic,No,NA,NA,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Ptiliidae,Acrotrichis,montandoni,Acrotrichis montandoni,Acrotrichis montandoni,0,NA,Species,1976,Staphylinoidea,Auckland,Auckland,AK,Europe,Palearctic,No,NA,NA,herbivore,Herbivore,0.8,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Ptiliidae,Acrotrichis,NA,Acrotrichis sericans,NA,NA,NA,Species,2015,NA,NA,Auckland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"iNaturalistNZ, 2015",NA
Hemiptera,Aphididae,Acyrthosiphon,kondoi,Acyrthosiphon kondoi,Acyrthosiphon kondoi,0,200571,Species,1974,Aphidoidea,Manakau,Auckland,AK,"Asia,India,Japan",Palearctic/Oriental,No,f-oligophagous,Oligophagous,herbivore,Herbivore,3.3,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Aphididae,Acyrthosiphon,malvae,Acyrthosiphon malvae,Acyrthosiphon malvae,0,NA,Species,1956,Aphidoidea,Lincoln,Canterbury,MC,NA,NA,NA,NA,NA,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Aphididae,Acyrthosiphon,pisum,Acyrthosiphon pisum,Acyrthosiphon pisum,0,200572,Species,1972,Aphidoidea,Nelson,Nelson- Tasman,NN,NA,Palearctic,Yes,polyphagous,Polyphagous,herbivore,Herbivore,3,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Aphididae,Acyrthosiphon,primulae,Acyrthosiphon primulae,Acyrthosiphon primulae,0,NA,Species,1929,Aphidoidea,Palmerston North,Manawatu-Wanganui,WI,NA,NA,NA,g-oligophagous,Oligophagous,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Coccinellidae,Adalia,bipunctata,Adalia bipunctata,Adalia bipunctata,0,114341,Species,1936,Cucujoidea,Christchurch,Canterbury,MC,C,Cosmopolitan,Yes,polyphagous,Polyphagous,predator,Predator,4.5,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Encyrtidae,Adelencyrtus,aulacaspidis,Adelencyrtus aulacaspidis,Adelencyrtus aulacaspidis,0,NA,Species,1962,NA,Nelson,Nelson- Tasman,NN,NA,Palearctic,No,f-oligophagous,Oligophagous,parasitoid,Parasitoid,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Encyrtidae,Adelencyrtus,NA,Adelencyrtus odonaspidis,NA,NA,NA,Species,2015,NA,NA,Auckland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA
Hemiptera,Adelgidae,Adelges,nordmannianae,Adelges nordmannianae,Adelges nordmannianae,0,NA,Species,1956,Aphidoidea,Scargill,Canterbury,NC,Caucasus,Palearctic,No,g-oligophagous,Oligophagous,herbivore,Herbivore,1,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Tenebrionidae,Adelium,brevicorne,Adelium brevicorne,Adelium brevicolle,1,NA,Species,NA,Tenebrionoidea,Auckland,Auckland,AK,NA,NA,No,polyphagous,Polyphagous,herbivore,Herbivore,10,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Carabidae,Adelotopus,macilentus,Adelotopus macilentus,Adelotopus macilentus,0,NA,Species,2002,NA,Gisborne,Gisborne,GB,Australia,Australasia,No,NA,NA,predator,Predator,4.2,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Latridiidae,Adistemia,watsoni,Adistemia watsoni,Adistemia watsoni,0,NA,Species,1969,Cucujoidea,Cambell Is,NA,NA,NA,Nearctic,Yes,polyphagous,Polyphagous,mycophagous,Mycophagous,1.5,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Scarabaeidae,Adoryphorus,coulonii,Adoryphorus coulonii,Adoryphorus coulonii,0,NA,Species,1963,Scarabaeoidea,Christchurch,Canterbury,MC,Australia,Australasia,No,polyphagous,Polyphagous,herbivore,Herbivore,14,NA,NA,NA,"Edney-Browne, 2018",NA
Diptera,Culicidae,Aedes,australis,Aedes australis,Aedes australis,0,126410,Species,1961,NA,Stewart Island,NA,SI,Australia,Australasia,No,NA,NA,parasite,Parasite,5,NA,NA,NA,"Edney-Browne, 2018",NA
Diptera,Culicidae,Aedes,notoscriptus,Aedes notoscriptus,Aedes notoscriptus,0,NA,Species,1918,NA,Auckland,Auckland,AK,"PNG, Australia, Pacific Is.",Australasia,No,NA,NA,parasite,Parasite,4,NA,NA,NA,"Edney-Browne, 2018",NA
Thysanoptera,Aeolothripidae,Aeolothrips,fasciatus,Aeolothrips fasciatus,Aeolothrips fasciatus,0,695243,Species,1930,NA,Palmerston North,Manawatu-Wanganui,WI,Europe,Palearctic,No,polyphagous,Polyphagous,omnivore,Omnivore,2,NA,NA,NA,"Edney-Browne, 2018",NA
Thysanoptera,Aeolothripidae,Aeolothrips,melaleucus,Aeolothrips melaleucus,Aeolothrips melaleucus,0,695249,Species,1978,NA,Auckland,Auckland,AK,Europe,Palearctic,Yes,polyphagous,Polyphagous,predator,Predator,2,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Nitidulidae,Aethina,concolor,Aethina concolor,Aethina concolor,0,835814,Species,NA,Cucujoidea,Auckland,Auckland,AK,Australia,Australasia,No,oligophagous,Oligophagous,herbivore,Herbivore,3.5,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Pyralidae,Aglossa,caprealis,Aglossa caprealis,Aglossa caprealis,0,NA,Species,1935,Pyraloidea,Auckland,Auckland,AK,Europe,Palearctic,No,polyphagous,Polyphagous,stored products,Stored Products,25,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Pyralidae,Aglossa,NA,Aglossa pinguinalis,NA,NA,NA,Species,1955,NA,NA,Nelson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoare, 2018",NA
Lepidoptera,Depressariidae,Agonopterix,alstroemeriana,Agonopterix alstroemeriana,Agonopterix alstroemeriana,0,NA,Species,1986,Gelechioidea,Dunedin,Otago,DN,"Palearctic, NW. America",Palearctic,No,monophagous,Monophagous,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Corixidae,Agraptocorixa,hirtifrons,Agraptocorixa hirtifrons,Agraptocorixa hirtifrons,0,NA,Species,2008,NA,Nelson,Nelson- Tasman,NN,Australia,Australasia,No,NA,NA,predator,Predator,7,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Elateridae,Agrypnus,variabilis,Agrypnus variabilis,Agrypnus variabilis,0,NA,Species,1870,Elateroidea,Auckland,Auckland,AK,NA,NA,NA,polyphagous,Polyphagous,herbivore,Herbivore,10,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Silvanidae,Ahasverus,advena,Ahasverus advena,Ahasverus advena,0,114305,Species,1924,Cucujoidea,Matamata,Waikato,WO,C,Cosmopolitan,Yes,polyphagous,Polyphagous,stored products,Stored products,2,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Aphididae,Akkaia,taiwana,Akkaia taiwana,Akkaia taiwana,0,NA,Species,1972,Aphidoidea,Auckland,Auckland,AK,NA,NA,NA,unknown,NA,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Encyrtidae,Alamella,mira,Alamella mira,Alamella mira,0,NA,Species,1981,NA,Auckland,Auckland,AK,Australia,Australasia,No,monophagous,Monophagous,parasitoid,Parasitoid,1,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Staphylinidae,Aleochara,puberula,Aleochara puberula,Aleochara puberula,0,186400,Species,1959,Staphylinoidea,Huamoana,Hawke's Bay,HB,N. America,Nearctic,Yes,oligophagous,Oligophagous,par/pr,Predator,3.5,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Aleyrodidae,Aleyrodes,proletella,Aleyrodes proletella,Aleyrodes proletella,0,NA,Species,1975,Aleyrodoidea,Auckland,Auckland,AK,C,Cosmopolitan,Yes,NA,NA,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Figitidae,Alloxysta,fuscicornis,Alloxysta fuscicornis,Alloxysta fuscicornis,0,NA,Species,1927,NA,Nelson,Nelson- Tasman,NN,C,Cosmopolitan,Yes,f-oligophagous,Oligophagous,parasitoid,Parasitoid,1,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Figitidae,Alloxysta,rubidus,Alloxysta rubidus,Alloxysta rubidus,0,NA,Species,1966,NA,Hollyford,Southland,FD,Australia,Australasia,No,f-oligophagous,Oligophagous,parasitoid,Parasitoid,1,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Figitidae,Alloxysta,thorpei,Alloxysta thorpei,Alloxysta thorpei,0,NA,Species,1924,NA,Nelson,Nelson- Tasman,NN,Australia,Australasia,No,f-oligophagous,Oligophagous,parasitoid,Parasitoid,1,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Figitidae,Alloxysta,victrix,Alloxysta victrix,Alloxysta victrix,0,NA,Species,1927,NA,Nelson,Nelson- Tasman,NN,C,Cosmopolitan,Yes,f-oligophagous,Oligophagous,parasitoid,Parasitoid,1,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Staphylinidae,Aloconota,planifrons,Aloconota planifrons,Aloconota planifrons,0,NA,Species,NA,Staphylinoidea,NA,NA,NA,Europe,Palearctic,No,NA,NA,predator,Predator,2.7,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Staphylinidae,Aloconota,sulcifrons,Aloconota sulcifrons,Aloconota sulcifrons,0,724969,Species,1860,Staphylinoidea,Auckland,Auckland,AK,N. America,Nearctic,Yes,NA,NA,predator,Predator,4,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Tenebrionidae,Alphitobius,diaperinus,Alphitobius diaperinus,Alphitobius diaperinus,0,187197,Species,1909,Tenebrionoidea,Auckland,Auckland,AK,C,Cosmopolitan,Yes,polyphagous,Polyphagous,omnivore,Omnivore,6,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Tenebrionidae,Alphitobius,laevigatus,Alphitobius laevigatus,Alphitobius laevigatus,0,187198,Species,1976,Tenebrionoidea,Canterbury,Canterbury,MC,Tropical regions,Cosmopolitan,Yes,polyphagous,Polyphagous,herbivore,Herbivore,6,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Tenebrionidae,Amarygmus,watti,Amarygmus watti,Amarygmus watti,0,NA,Species,1956,Tenebrionoidea,Auckland,Auckland,AK,Australia,Australasia,No,polyphagous,Polyphagous,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Curculionidae,Amasa,truncata,Amasa truncata,Amasa truncata,0,NA,Species,1930,Curculionoidea,Canterbury,Canterbury,MC,Australia,Australasia,No,polyphagous,Polyphagous,herbivore,Herbivore,3,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Tenthredinidae,Amauronematus,viduatus,Amauronematus viduatus,Amauronematus viduatus,0,NA,Species,2009,NA,Manukau,Auckland,AK,?,Holarctic,No,g-oligophagous,Oligophagous,phytophagous-leaf feeder,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Formicidae,Amblyopone,australis,Amblyopone australis,Amblyopone australis,0,582835,Species,1876,NA,Drury,Auckland,AK,Australia,Australasia,No,polyphagous,Polyphagous,predator,Predator,9,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Curculionidae,Ambrosiodmus,compressus,Ambrosiodmus compressus,Ambrosiodmus compressus,0,NA,Species,1972,Curculionoidea,Kawerau,Bay of Plenty,BP,Australia,Australasia,No,polyphagous,Polyphagous,herbivore,Herbivore,2.5,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Staphylinidae,Amischa,analis,Amischa analis,Amischa analis,0,725889,Species,1870,Staphylinoidea,Riccarton,Canterbury,MC,N. America,Nearctic,Yes,NA,NA,NA,NA,2,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Staphylinidae,Amischa,decipiens,Amischa decipiens,Amischa decipiens,0,NA,Species,1959,Staphylinoidea,Otaki,Wellington,WN,Europe,Palearctic,No,NA,NA,NA,NA,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Staphylinidae,Amischa,nigrofusca,Amischa nigrofusca,Amischa nigrofusca,0,NA,Species,NA,Staphylinoidea,NA,NA,NA,NA,Palearctic,No,NA,NA,predator,Predator,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Aphididae,Amphorophora,rubi,Amphorophora rubi,Amphorophora rubi,0,NA,Species,1992,Aphidoidea,Lincoln,Canterbury,MC,NA,Palearctic,No,g-oligophagous,Oligophagous,herbivore,Herbivore,3,NA,NA,NA,"Edney-Browne, 2018",NA
Phthiraptera,Menoponidae,Amyrsidea,minuta,Amyrsidea minuta,Amyrsidea minuta,0,NA,Species,1840,Amblycera,NA,NA,NA,SE Asia,Oriental,No,monophagous,Monophagous,parasite,Parasite,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Phthiraptera,Menoponidae,Amyrsidea,perdicis,Amyrsidea perdicis,Amyrsidea perdicis,0,NA,Species,1842,Amblycera,>1st loc,NA,NA,N. Asia,Palearctic,Yes,f-oligophagous,Oligophagous,parasite,Parasite,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Staphylinidae,Anabaxis,electrica,Anabaxis electrica,Anabaxis electrica,0,NA,Species,1870,Staphylinoidea,Tairua,Bay of Plenty,CR,Australia,Australasia,No,NA,NA,NA,NA,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Mymaridae,Anagrus,atomus,Anagrus atomus,Anagrus atomus,0,153664,Species,1978,NA,Lake Roitoti,West Coast,BR,NA,Palearctic,No,f-oligophagous,Oligophagous,parasitoid,Parasitoid,0.5,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Mymaridae,Anagrus,avalae,Anagrus avalae,Anagrus avalae,0,NA,Species,1980,NA,Auckland,Auckland,AK,NA,Palearctic,No,f-oligophagous,Oligophagous,parasitoid,Parasitoid,0.5,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Mymaridae,Anagrus,frequens,Anagrus frequens,Anagrus frequens,0,NA,Species,1960,NA,Ngaiotinga,Northland,ND,NA,Oriental,No,o-oligophagous,Oligophagous,parasitoid,Parasitoid,0.5,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Mymaridae,Anagrus,incarnatus,Anagrus incarnatus,Anagrus incarnatus,0,NA,Species,1980,NA,>1 loc,NA,NA,NA,Palearctic,No,o-oligophagous,Oligophagous,parasitoid,Parasitoid,0.5,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Mymaridae,Anagrus,optabilis,Anagrus optabilis,Anagrus optabilis,0,NA,Species,1981,NA,>1 loc,NA,NA,NA,Oriental,No,o-oligophagous,Oligophagous,parasitoid,Parasitoid,0.5,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Mymaridae,Anagrus,ustulatus,Anagrus ustulatus,Anagrus ustulatus,0,NA,Species,1932,NA,NA,NA,NA,NA,Palearctic,No,f-oligophagous,Oligophagous,parasitoid,Parasitoid,0.5,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Encyrtidae,Anagyrus,fusciventris,Anagyrus fusciventris,Anagyrus fusciventris,0,NA,Species,1991,NA,Auckland,Auckland,AK,Australia,Australasia,No,f-oligophagous,Oligophagous,parasitoid,Parasitoid,1,NA,NA,NA,"Edney-Browne, 2018",NA
Thysanoptera,Thripidae,Anaphothrips,dubius,Anaphothrips dubius,Anaphothrips dubius,0,NA,Species,1941,NA,Auckland,Auckland,AK,Australia,Australasia,No,polyphagous,Polyphagous,herbivore,Herbivore,2,NA,NA,NA,"Edney-Browne, 2018",NA
Thysanoptera,Thripidae,Anaphothrips,obscurus,Anaphothrips obscurus,Anaphothrips obscurus,0,695711,Species,1951,NA,Christchurch,Canterbury,MC,C/ W. Asia?,Cosmopolitan,Yes,f-oligophagous,Oligophagous,herbivore,Herbivore,2,NA,NA,NA,"Edney-Browne, 2018",NA
Thysanoptera,Thripidae,Anaphothrips,varii,Anaphothrips varii,Anaphothrips varii,0,NA,Species,1930,NA,Palmerston North,Manawatu-Wanganui,WI,Australia,Australasia,No,f-oligophagous,Oligophagous,herbivore,Herbivore,2,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Gelechiidae,Anarsia,NA,Anarsia dryinopa,NA,NA,NA,Species,1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoare, 2001",NA
Phthiraptera,Philopteridae,Anaticola,anseris,Anaticola anseris,Anaticola anseris,0,NA,Species,NA,Ischnocera,NA,NA,NA,C,Cosmopolitan,Yes,f-oligophagous,Oligophagous,parasite,Parasite,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Phthiraptera,Philopteridae,Anatoecus,dentatus,Anatoecus dentatus,Anatoecus magnicornutus,1,NA,Species,1860,Ischnocera,NA,NA,NA,Australia,Australasia,No,monophagous,Monophagous,parasite,Parasite,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Phthiraptera,Philopteridae,Anatoecus,icterodes,Anatoecus icterodes,Anatoecus oloris,1,NA,Species,1860,Ischnocera,NA,NA,NA,Australia,Australasia,No,g-oligophagus,Oligophagous,parasite,Parasite,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Odonata,Aeshnidae,Anax,NA,Anax papuensis,NA,NA,NA,Species,2012,NA,NA,Northland,NA,NA,NA,NA,NA,NA,NA,NA,NA,Synonym:Hemianax papuensis,NA,NA,"iNaturalistNZ, 2012",NA
Hymenoptera,Vespidae,Ancistrocerus,gazella,Ancistrocerus gazella,Ancistrocerus gazella,0,NA,Species,1988,NA,Auckland,Auckland,AK,Europe,Palearctic,No,o-oligophagous,Oligophagous,predator,Predator,12,NA,NA,NA,"Edney-Browne, 2018",NA
Phthiraptera,Menoponidae,Ancistrona,vagelli,Ancistrona vagelli,Ancistrona vagelli,0,NA,Species,NA,Amblycera,NA,NA,NA,NA,NA,NA,f-oligophagous,Oligophagous,parasite,Parasite,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Carabidae,Anisodactylus,binotatus,Anisodactylus binotatus,Anisodactylus binotatus,0,111153,Species,1938,NA,Christchurch,Canterbury,MC,Asiatic-European,Palearctic,Yes,NA,NA,herbivore,Herbivore,11.3,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Gelechiidae,Anisoplaca,cosmia,Anisoplaca cosmia,Anisoplaca cosmia,0,NA,Species,1975,NA,Auckland,Auckland,AK,Norfolk Island,Australasia,No,monophagous,Monophagous,herbivore,Herbivore,20,NA,NA,NA,"Edney-Browne, 2018",NA
