order,family,genus,species,genus.species,original.species.name,name.changed...1.yes..0..no.,tsn,rank,year,super.family,town,NZ.region,nz.area.code,origin,ecozone,current.distribution.cosmopolitan.,phagy,phagy.main,feeding.type,feeding.main,size.mm.,comment,eradicated,Intentional_Release,source,vagrant
Coleoptera,Staphylinidae,Thyreocephalus,orthodoxus,Thyreocephalus orthodoxus,Thyreocephalus orthodoxus,0,NA,Species,1955,Staphylinoidea,Auckland,Auckland,AK,Australia,Australasia,No,NA,NA,predator,Predator,15,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Staphylinidae,Thyreocephalus,taitensis,Thyreocephalus taitensis,Thyreocephalus taitensis,0,NA,Species,NA,Staphylinoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Noctuidae,Thysanoplusia,orichalcea,Thysanoplusia orichalcea,Thysanoplusia orichalcea,0,NA,Species,1984,Noctuoidea,Auckland,Auckland,AK,Australia,Australasia,No,polyphagous,Polyphagous,herbivore,Herbivore,40,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Tineidae,Tinea,dubiella,Tinea dubiella,Tinea dubiella,0,NA,Species,1925,Tineoidea,Nelson,Nelson- Tasman,NN,Europe,Palearctic,No,Detritus/ polyphagous S,Polyphagous,detritivore,Other,12,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Tineidae,Tinea,pallescentella,Tinea pallescentella,Tinea pallescentella,0,NA,Species,1909,Tineoidea,West Plains,Southland,SL,Europe,Palearctic,Yes,Animal products,Polyphagous,stored products,Stored Products,13,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Tineidae,Tinea,pellionella,Tinea pellionella,Tinea pellionella,0,NA,Species,1919,Tineoidea,Tisbury,Southland,SL,C,Cosmopolitan,Yes,Animal products,Polyphagous,stored products,Stored Products,13,NA,NA,NA,"Edney-Browne, 2018",NA
Lepidoptera,Tineidae,Tineola,bisselliella,Tineola bisselliella,Tineola bisselliella,0,NA,Species,1926,Tineoidea,Nelson,Nelson- Tasman,NN,Europe,Palearctic,No,Animal products,Polyphagous,stored products,Stored Products,13,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Aphididae,Tinocallis,ulmiparvifoliae,Tinocallis ulmiparvifoliae,Tinocallis ulmiparvifoliae,0,NA,Species,2013,Aphidoidea,Auckland,Auckland,AK,NA,NA,NA,NA,NA,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Mordellidae,Tolidopalpus,nitidicoma,Tolidopalpus nitidicoma,Tolidopalpus nitidicoma,0,NA,Species,1981,Cucujoidea,Lynfield,Auckland,AK,Australia,Australasia,No,polyphagous,Polyphagous,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hymenoptera,Torymidae,Torymus,varians,Torymus varians,Torymus varians,0,153970,Species,1930,NA,Nelson,Nelson- Tasman,NN,NA,Palearctic,No,g-oligophagous,Oligophagous,phytophagous-seed predator,Herbivore,4,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Aphididae,Toxoptera,aurantii,Toxoptera aurantii,Toxoptera aurantii,0,200682,Species,1933,Aphidoidea,Auckland,Auckland,AK,NA,NA,NA,polyphagous,Polyphagous,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Aphididae,Toxoptera,citricidus,Toxoptera citricidus,Toxoptera citricidus,0,NA,Species,1922,Aphidoidea,Auckland,Auckland,AK,NA,NA,NA,f-oligophagous,Oligophagous,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Delphacidae,Toya,dryope,Toya dryope,Toya dryope,0,200461,Species,1951,Fulgoromorpha,Waitangi,Northland,ND,Australia & Pacific Is.,Australasia/Oceania,No,polyphagous,Polyphagous,herbivore,Herbivore,1.5,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Chrysomelidae,Trachymela,catenata,Trachymela catenata,Trachymela catenata,0,NA,Species,1992,Chrysomeloidea,Gisborne,Gisborne,GB,Australia,Australasia,No,oligophagous,Oligophagous,herbivore,Herbivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Chrysomelidae,Trachymela,sloanei,Trachymela sloanei,Trachymela sloanei,0,720041,Species,1976,Chrysomeloidea,Auckland,Auckland,AK,Australia,Australasia,No,oligophagous,Oligophagous,herbivore,Herbivore,8,NA,NA,NA,"Edney-Browne, 2018",NA
Diptera,Sphaeroceridae,Trachyopella,lineafrons,Trachyopella lineafrons,Trachyopella lineafrons,0,146170,Species,NA,Schizophora,NA,NA,NA,NA,Cosmopolitan,Yes,polyphagous,Polyphagous,carrion,Carrion,NA,NA,NA,NA,"Edney-Browne, 2018",NA
