GENUS_SPECIES,Authority,COMMON.NAME,JP NAME,Pest Type,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Chaetocnema confinis,NA,NA,サツマイモヒサゴトビハムシ,Outdoor,Coleoptera,NA,Chrysomelidae,1998,NA,Root,Indomalaya Palearctic(Asia),"Yamanaka, 2015"
Laccoptera quadrimaculata,NA,NA,ヨツモンカメノコハムシ,Outdoor,Coleoptera,NA,Chrysomelidae,NA,NA,Leaf,Indomalaya,"Yamanaka, 2015"
Linaeidea formosana,NA,NA,タイワンハムシ,Outdoor,Coleoptera,NA,Chrysomelidae,2010,NA,Leaf,Indomalaya,"Yamanaka, 2015"
Oulema oryzae,NA,NA,イネクビホソハムシ,Outdoor,Coleoptera,NA,Chrysomelidae,1937,NA,Leaf (イネ),Palearctic(Asia),"Yamanaka, 2015"
Cicindela aurulenta,NA,NA,ヤツボシハンミョウ,NA,Coleoptera,NA,Cicindelidae,2002,NA,Insect,Indomalaya,"Yamanaka, 2015"
Korynetes caeruleus,(DeGeer),NA,ニセルリホシカムシ,Stored,Coleoptera,NA,Cleridae,1957,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Necrobia ruficollis,(Fabricius),Red-shouldered ham beetle :  red-shouldered ham beetle,アカクビホシカムシ,Stored,Coleoptera,NA,Cleridae,1957,NA,DryA,Indomalaya,"Yamanaka, 2015"
Necrobia rufipes,(De Geer),Red-legged ham beetle :  red-legged ham beetle:copra beetle:ham beetle,アカアシホシカムシ,Stored,Coleoptera,NA,Cleridae,NA,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Necrobia violacea,(Linnaeus),Imported currantworm,ルリホシカムシ,Stored,Coleoptera,NA,Cleridae,1945,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Tarsostenus unvittatus,(Rossi),NA,シロオビカッコウムシ,NA,Coleoptera,NA,Cleridae,NA,NA,Insect,Palearctic(Asia),"Yamanaka, 2015"
Brumoides ohotai,NA,NA,ミスジキイロテントウ,NA,Coleoptera,NA,Coccinellidae,1986,NA,Insect,Indomalaya,"Yamanaka, 2015"
Calvia muiri,(Timberlake),NA,ムーアシロホシテントウ,NA,Coleoptera,NA,Coccinellidae,NA,NA,Fungus,Indomalaya,"Yamanaka, 2015"
Coelophora inaequalis,(Fabricius),common Australian lady beetle,カタボシテントウ,NA,Coleoptera,NA,Coccinellidae,2010,NA,Insect,Australasia Oceania Indomalaya,"Yamanaka, 2015"
Epilachna pusillanima,NA,NA,ミナミマダラテントウ,Outdoor,Coleoptera,NA,Coccinellidae,1997,NA,Leaf,Indomalaya,"Yamanaka, 2015"
Jauravia limbata,NA,NA,ケブカメツブテントウ,NA,Coleoptera,NA,Coccinellidae,1988,NA,Insect,Indomalaya,"Yamanaka, 2015"
Olla v-nigrum,(Mulsant),NA,ハイイロテントウ,NA,Coleoptera,NA,Coccinellidae,1987,NA,Insect,Nearctic Nearctic Neotropic,"Yamanaka, 2015"
Platynaspidius maculosus,(Weise),NA,モンクチビルテントウ,NA,Coleoptera,NA,Coccinellidae,1998,NA,Insect,Palearctic(Asia),"Yamanaka, 2015"
