genus_species,AUTHORITY,ORDER,FAMILY,Year,Origin,notes,COMMON NAME/S,Intentional_Release,source
Carulaspis minima,(Signoret 1869),Hemiptera,Diaspididae,2018,NA,NA,minute cypress scale,NA,TBA
Comstockaspis perniciosa,(Comstock 1881),Hemiptera,Diaspididae,1895,NA,NA,San Jose scale,NA,TBA
Diaspis boisduvalii,Signoret 8169,Hemiptera,Diaspididae,1934,NA,NA,"coconut snow scale, orchid scale",NA,TBA
Duplachionaspis divergens,(Green 1899),Hemiptera,Diaspididae,1916,NA,NA,no common name,NA,TBA
Hemiberlesia cyanophylli,(Signoret 1869),Hemiptera,Diaspididae,1912,NA,NA,cyanophyllum scale,NA,TBA
Lepidosaphes pinnaeformis,(BouchÃ© 1851),Hemiptera,Diaspididae,1913,NA,NA,cymbidium scale,NA,TBA
Lepidosaphes tapleyi,Williams 1960,Hemiptera,Diaspididae,2007,NA,NA,guava long scale,NA,TBA
Thysanofiorinia leei,Williams 1971,Hemiptera,Diaspididae,1981,NA,NA,lychee scale,NA,TBA
Rhizococcus coccineus,(Cockerell 1894),Hemiptera,Eriococcidae,1952,NA,NA,cactus mealybug,NA,TBA
Hypogeococcus festerianus,(Lizer y Trelles 1942),Hemiptera,Pseudococcidae,1975,NA,biocontrol,Harrisa cactus mealybug,Y,TBA
Hypogeococcus pungens,Granara de Willink 1981,Hemiptera,Pseudococcidae,1975,NA,biocontrol,cactus mealybug,Y,TBA
Paracoccus solani,Ezzat & McConnell 1956,Hemiptera,Pseudococcidae,1978,NA,NA,no common name,NA,TBA
Vryburgia trionymoides,(De Lotto 1961),Hemiptera,Pseudococcidae,2019,NA,NA,no common name,NA,TBA
Achaea janata,(Linneaus),Hemiptera,Erebidae,1916,NA,NA,NA,NA,TBA
Apomyelois ceratoniae,"(Zeller, 1839)",Hemiptera,Pyralidae,1940,NA,NA,NA,NA,TBA
Bedellia somnulentella,(Zeller),Hemiptera,Bedelliidae,1899,NA,NA,NA,NA,TBA
Chilo polychrysa,(Meyrick),Hemiptera,Crambidae,NA,NA,NA,NA,NA,TBA
Cnaphalocrocis medinalis,(Guenee),Hemiptera,Crambidae,1899,NA,NA,NA,NA,TBA
Eudocima phalonia,Clerck,Hemiptera,Noctuidae,1905,NA,NA,NA,NA,TBA
Hyles lineata,(Fabricius),Hemiptera,Sphingidae,1947,NA,NA,NA,NA,TBA
Lamprosema octasema,Meyrick,Hemiptera,Crambidae,1926,NA,NA,NA,NA,TBA
Leucania loryi,(Duponchel),Hemiptera,Noctuidae,NA,NA,NA,NA,NA,TBA
Leucania stenographa,Lower,Hemiptera,Noctuidae,1940,NA,NA,NA,NA,TBA
Niditinea fuscella,(Linneaus),Hemiptera,Tineidae,NA,NA,NA,NA,NA,TBA
Ophiusa tirhaca,(Cramer),Hemiptera,Erebidae,1920,NA,NA,NA,NA,TBA
Serrodes mediopallens,Prout,Hemiptera,Noctuidae,NA,NA,NA,NA,NA,TBA
Tinea columbariella,Wocke,Hemiptera,Tineidae,NA,NA,NA,NA,NA,TBA
Tinea dubiella,Stainton,Hemiptera,Tineidae,NA,NA,NA,NA,NA,TBA
Tinea flaviscentella,Haworth,Hemiptera,Tineidae,NA,NA,NA,NA,NA,TBA
Tinea murariella,Staudinger,Hemiptera,Tineidae,NA,NA,NA,NA,NA,TBA
Tinea transluscens,Meyrick,Hemiptera,Tineidae,NA,NA,NA,NA,NA,TBA
Trichophaga tapetzella,(Linnarus),Hemiptera,Tineidae,1953,NA,NA,NA,NA,TBA
Actinotia hyperici,Denis & SchiffermÃ¼ller,Lepidoptera,NOCTUIDAE,NA,NA,NA,NA,Y,TBA
Aplocera efformata,GuenÃ©e,Lepidoptera,GEOMETRIDAE,NA,NA,NA,NA,Y,TBA
Aplocera plagiata,Linnaeus,Lepidoptera,GEOMETRIDAE,NA,NA,NA,NA,Y,TBA
Arcola malloi,Pastrana,Lepidoptera,PYRALIDAE,NA,NA,NA,NA,Y,TBA
Aristotelia ivae,Busck,Lepidoptera,GELECHIIDAE,NA,NA,NA,NA,Y,TBA
Autoplusia illustrata,GuenÃ©e,Lepidoptera,NOCTUIDAE,NA,NA,NA,NA,Y,TBA
Bradyrrhoa gilveolella,Treitschke,Lepidoptera,PYRALIDAE,NA,NA,NA,NA,Y,TBA
Bucculatrix ivella,Busck,Lepidoptera,BUCCULATRICIDAE,NA,NA,NA,NA,Y,TBA
Bucculatrix parthenica,Bradley,Lepidoptera,BUCCULATRICIDAE,NA,NA,NA,NA,Y,TBA
Cactoblastis cactorum,Berg,Lepidoptera,PYRALIDAE,NA,NA,NA,NA,Y,TBA
Cactoblastis doddi,Heinrich,Lepidoptera,PYRALIDAE,NA,NA,NA,NA,Y,TBA
Carmenta mimosa,Eichlin & Passoa,Lepidoptera,SESIIDAE,NA,NA,NA,NA,Y,TBA
Coccidiphaga scitula,Rambur,Lepidoptera,NOCTUIDAE,NA,NA,NA,NA,Y,TBA
Cochylis atricapitana,Stephens,Lepidoptera,TORTRICIDAE,NA,NA,NA,NA,Y,TBA
Comostolopsis germana,Prout,Lepidoptera,GEOMETRIDAE,NA,NA,NA,NA,Y,TBA
Crocidosema lantana,Busck,Lepidoptera,TORTRICIDAE,1914,NA,NA,NA,Y,TBA
Dialectica scalariella,Zeller,Lepidoptera,GRACILLARIIDAE,NA,NA,NA,NA,Y,TBA
Diastema tigris,GuenÃ©e,Lepidoptera,NOCTUIDAE,NA,NA,NA,NA,Y,TBA
Ectaga garcia,Becker,Lepidoptera,DEPRESSARIIDAE,NA,NA,NA,NA,Y,TBA
Epiblema strenuana,Walker,Lepidoptera,TORTRICIDAE,NA,NA,NA,NA,Y,TBA
Euclasta gigantalis,Viette,Lepidoptera,PYRALIDAE,NA,NA,NA,NA,Y,TBA
Hellinsia balanotes,Meyrick,Lepidoptera,PTEROPHORIDAE,NA,NA,NA,NA,Y,TBA
Leucoptera spartifoliella,HÃ¼bner,Lepidoptera,LYONETIIDAE,NA,NA,NA,NA,Y,TBA
Lorita baccharivora,Pogue,Lepidoptera,TORTRICIDAE,NA,NA,NA,NA,Y,TBA
Loxomorpha flavidissimalis,Grote,Lepidoptera,PYRALIDAE,NA,NA,NA,NA,Y,TBA
Melitara dentata,Grote,Lepidoptera,PYRALIDAE,NA,NA,NA,NA,Y,TBA
Melitara prodenialis,Walker,Lepidoptera,PYRALIDAE,NA,NA,NA,NA,Y,TBA
Neogalea sunia,GuenÃ©e,Lepidoptera,NOCTUIDAE,NA,NA,NA,NA,Y,TBA
Neurostrota gunniella,Busck,Lepidoptera,GRACILLARIIDAE,NA,NA,NA,NA,Y,TBA
Niphograpta albiguttalis,Warren,Lepidoptera,CRAMBIDAE,NA,NA,NA,NA,Y,TBA
Olycella junctolineella,Hulst,Lepidoptera,PYRALIDAE,NA,NA,NA,NA,Y,TBA
Pyropteron doryliformis,Ochsenheimer,Lepidoptera,SESIIDAE,NA,NA,NA,NA,Y,TBA
Salbia haemorrhoidalis,GuenÃ©e,Lepidoptera,CRAMBIDAE,NA,NA,NA,NA,Y,TBA
Samea multiplicalis,GuenÃ©e,Lepidoptera,CRAMBIDAE,1981,NA,NA,NA,Y,TBA
Tucumania tapiacola,Dyar,Lepidoptera,PYRALIDAE,NA,NA,NA,NA,Y,TBA
Tyria jacobaeae,Linnaeus,Lepidoptera,ARCTIIDAE,NA,NA,NA,NA,Y,TBA
Wheeleria spilodactylus,Curtis,Lepidoptera,PTEROPHORIDAE,NA,NA,NA,NA,Y,TBA
Xubida infusellus,Walker,Lepidoptera,CRAMBIDAE,NA,NA,NA,NA,Y,TBA
Vespula germanica,NA,Hymenoptera,Vespidae,NA,NA,NA,NA,NA,TBA
