genus_species,AUTHORITY,ORDER,FAMILY,Year,Origin,notes,COMMON NAME/S,Intentional_Release,source
Alphitobius laevigatus,(Fabricius),Coleoptera,Tenebrionidae,1899,NA,NA,NA,NA,TBA
Alphitophagus bifasciatus,(Say: 1824),Coleoptera,Tenebrionidae,1969,NA,NA,NA,NA,TBA
Amauronematus viduatus,(Zetterstedt),Hymenoptera,Tenthridinidae,2002,Europe,NA,NA,NA,"Nahrung, 2020"
Ambeodontus tristis,Fabricius,Coleoptera,Cerambycidae,1948,NA,NA,NA,NA,TBA
Amblypelta lutescens,Distant,Hemiptera,Coreidae,1896,NA,NA,NA,NA,TBA
Amblypelta nitida,Stahl,Hemiptera,Coreidae,1993,NA,NA,NA,NA,TBA
Ambrosiodmus asperatus,(Blandford),Coleoptera,Curculionidae,NA,NA,NA,NA,NA,TBA
Ambrosiodmus rubricollis,Eichoff,Coleoptera,Curculionidae,NA,NA,NA,NA,NA,TBA
Ametastegia glabrata,"(FallÃ©n, 1808)",Hymenoptera,Tenthredinidae,1993,NA,NA,NA,NA,TBA
Amrasca devastans,Distant,Hemiptera,Cicadellidae,2000,NA,NA,NA,NA,TBA
Amrasca terraereginae,Paoli,Hemiptera,Cicadellidae,2001,NA,NA,NA,NA,TBA
Anisolabis maritima,(Bonelli),Dermaptera,Anisolabididae,NA,NA,NA,NA,NA,TBA
Anobium punctatum,"(DeGeer, 1774)",Coleoptera,Anobiidae,1913,Europe,NA,NA,NA,"Nahrung, 2020"
Anomis flava,Fabricius,Lepidoptera,Noctuidae,1900,NA,NA,NA,NA,TBA
Anomis involuta,Walker,Lepidoptera,Noctuidae,1949,NA,?native,NA,NA,TBA
Anthicus ephippium,LaFertÃ©-SÃ©nectÃ¨re,Coleoptera,Anthicidae,NA,NA,NA,NA,NA,TBA
Anthicus floralis,Linnaeus,Coleoptera,Anthicidae,1988,NA,NA,NA,NA,TBA
Anthomyia punctipennis,(Wiedemann),Diptera,Anthomyiidae,1930,NA,NA,NA,NA,TBA
Anthrenus flavipes,"Le Conte, 1854",Coleoptera,Dermestidae,1954,NA,NA,NA,NA,TBA
Anthrenus museorum,"(Linnaeus, 1761)",Coleoptera,Dermestidae,1947,NA,NA,NA,NA,TBA
Anthrenus pimpinellae,(Fabricius),Coleoptera,Dermestidae,1942,NA,NA,NA,NA,TBA
Anthrenus scrophulariae,(Linneaus),Coleoptera,Dermestidae,1900,NA,NA,NA,NA,TBA
Anthrenus verbasci,"(Linnaeus, 1767)",Coleoptera,Dermestidae,1915,NA,NA,NA,NA,TBA
Antigastra catalaunalis,(Duponchel),Lepidoptera,Crambidae,1932,NA,NA,NA,NA,TBA
Antonina crawi,Cockerell,Hemiptera,Pseudococcidae,1985,NA,NA,NA,NA,TBA
Antonina graminis,(Maskell),Hemiptera,Pseudococcidae,1912,NA,NA,NA,NA,TBA
Aonidia lauri,(Bouche),Hemiptera,Diaspididae,1950,NA,NA,NA,NA,TBA
Aonidiella aurantii,Maskell,Hemiptera,Diaspididae,1896,Asia,NA,NA,NA,"Nahrung, 2020"
Aonidiella citrina,"(Coquillett, 1890)",Hemiptera,Diaspididae,1933,NA,NA,NA,NA,TBA
Aonidiella comperei,McKenzie,Hemiptera,Diaspididae,1989,NA,NA,NA,NA,TBA
Aonidiella inornata,McKenzie,Hemiptera,Diaspididae,1953,Asia,NA,NA,NA,"Nahrung, 2020"
Aonidiella orientalis,Newstead,Hemiptera,Diaspididae,2011,Asia,NA,NA,NA,"Nahrung, 2020"
Aphis chloris,Koch,Hemiptera,Aphididae,1987,NA,NA,NA,NA,TBA
Aphis craccivora,Koch,Hemiptera,Aphididae,1912,Eurasia,NA,NA,NA,"Nahrung, 2020"
Aphis euphorbiae,Kaltenbach,Hemiptera,Aphididae,NA,NA,NA,NA,NA,TBA
Aphis gossypii,"Glover, 1877",Hemiptera,Aphididae,1912,NA,NA,NA,NA,"Nahrung, 2020"
Aphis hederae,Kaltenbach,Hemiptera,Aphididae,2009,NA,NA,NA,NA,TBA
Aphis nerii,Boyer de Fonscolombe,Hemiptera,Aphididae,1921,NA,NA,NA,NA,TBA
Aphis oenotherae,Oestlund,Hemiptera,Aphididae,2008,NA,NA,NA,NA,TBA
Aphis sedi,Kaltenbach,Hemiptera,Aphididae,1920,NA,NA,NA,NA,TBA
Aphis spiraecola,"Patch, 1914",Hemiptera,Aphididae,1948,NA,NA,NA,NA,TBA
Apinocis variipennis,Lea,Coleoptera,Curculionidae,1981,NA,NA,NA,NA,TBA
Aploneura lentisci,Passerini,Hemiptera,Aphididae,1933,NA,NA,NA,NA,TBA
Apomecyna histrio,Fabricius,Coleoptera,Cerambycidae,1911,NA,NA,NA,NA,TBA
Araecerus fasciculatus,(deGeer),Coleoptera,Anthribidae,1906,NA,NA,NA,NA,TBA
Araecerus lutatus,(Fairmaire),Coleoptera,Anthribidae,1974,NA,NA,NA,NA,TBA
Arhopalus rusticus,(Linneaus),Coleoptera,Cerambycidae,1899,Europe,NA,NA,NA,"Nahrung, 2020"
Arhopalus syriacus,(Reitter),Coleoptera,Cerambycidae,1956,Europe,NA,NA,NA,"Nahrung, 2020"
Aspidiella sacchari,(Cockerell),Hemiptera,Diaspididae,2002,NA,NA,NA,NA,TBA
Aspidiotus destructor,Signoret,Hemiptera,Diaspididae,1927,Asia,NA,NA,NA,"Nahrung, 2020"
Asterolecanium variolosum,(Ratzeburg),Hemiptera,Asterolecaniidae,1915,NA,NA,NA,NA,TBA
Atherigona orientalis,(Schiner),Diptera,Muscidae,1947,NA,NA,NA,NA,TBA
Atrichonotus minimus,Blanchard,Coleoptera,Curculionidae,1948,NA,NA,NA,NA,TBA
Atrichonotus sordidus,(Hustache),Coleoptera,Curculionidae,1900,NA,NA,NA,NA,TBA
Atrichonotus taeniatulus,(Berg),Coleoptera,Curculionidae,1935,S.America,NA,NA,NA,"Nahrung, 2020"
Attagenus brunneus,Faldermann,Coleoptera,Dermestidae,1955,NA,NA,NA,NA,TBA
Attagenus cyphonoides,Rietter,Coleoptera,Dermestidae,1983,NA,NA,NA,NA,TBA
Attagenus fasciatus,(Thunberg),Coleoptera,Dermestidae,1934,NA,NA,NA,NA,TBA
Attagenus pellio,Linnaeus,Coleoptera,Dermestidae,1956,NA,NA,NA,NA,TBA
Attagenus unicolor,"(Brahm, 1791)",Coleoptera,Dermestidae,1933,NA,NA,NA,NA,TBA
Aulacaspis madiunensis,Zehntner,Hemiptera,Diaspididae,1938,NA,NA,NA,NA,TBA
Aulacaspis rosae,BouchÃ©,Hemiptera,Diaspididae,1928,NA,NA,NA,NA,TBA
Aulacaspis rosarum,Borchsenius,Hemiptera,Diaspididae,1928,NA,NA,NA,NA,TBA
Aulacaspis tubercularis,Newstead,Hemiptera,Diaspididae,1894,NA,NA,NA,NA,TBA
Aulacophora abdominalis,"(Fabricius, 1781)",Coleoptera,Chrysomelidae,1916,NA,NA,NA,NA,TBA
Aulacorthum circumflexum,Buckton,Hemiptera,Aphididae,1933,NA,NA,NA,NA,TBA
Aulacorthum solani,"(Kaltenbach, 1843)",Hemiptera,Aphididae,1920,NA,NA,NA,NA,TBA
Aulacosternum nigrorubrum,Dallas,Hemiptera,Coreidae,1929,NA,NA,NA,NA,TBA
Austroasca alfalfae,Evans,Hemiptera,Cicadellidae,1985,NA,NA,NA,NA,TBA
Austroasca terraereginae,Paoli,Hemiptera,Cicadellidae,1961,NA,NA,NA,NA,TBA
Austroasca viridigrisea,"(Paoli, 1936)",Hemiptera,Cicadellidae,1931,NA,NA,NA,NA,TBA
Bactericera cockerelli,(Sulc),Hemiptera,Psyllidae,1942,NA,NA,NA,NA,TBA
Bactrocera frauenfeldi,Schiner,Diptera,Tephritidae,1933,NA,NA,NA,NA,TBA
Balclutha rubrostriata,(Melichar),Hemiptera,Cicadellidae,1937,NA,NA,NA,NA,TBA
Balclutha saltuella,(Kirschbaum),Hemiptera,Cicadellidae,1941,NA,NA,NA,NA,TBA
Bambusaspis bambusae,(Boisduval),Hemiptera,Asterolecaniidae,1996,NA,NA,NA,NA,TBA
Bemisia afer,(Priesner & Hosny),Hemiptera,Aleyrodidae,2001,NA,NA,NA,NA,TBA
Bemisia giffardi,"(Kotinsky, 1907)",Hemiptera,Aleyrodidae,1928,NA,NA,NA,NA,TBA
Bemisia tabaci,"(Gennadius, 1889)",Hemiptera,Aleyrodidae,1954,NA,NA,NA,NA,TBA
Blaps polychresta,"(ForsskÃ¥l, 1775)",Coleoptera,Tenebrionidae,1960,NA,NA,NA,NA,TBA
Bombyx mori,Linnaeus,Lepidoptera,Bombycidae,1957,NA,NA,NA,Y,TBA
Brachycaudus helichrysi,Kaltenbach,Hemiptera,Aphididae,1972,NA,NA,NA,NA,TBA
Brachycaudus persicae,(Passerini),Hemiptera,Aphididae,1903,NA,NA,NA,NA,TBA
Brachycaudus rumexicolens,Patch,Hemiptera,Aphididae,1987,NA,NA,NA,NA,TBA
Bradysia impatiens,(Johansen),Diptera,Sciaridae,1961,NA,NA,NA,NA,TBA
Bradysia ocellaris,(Comstock),Diptera,Sciaridae,1966,NA,NA,NA,NA,TBA
Brevennia rehi,(Borchsenius),Hemiptera,Pseudococcidae,1980,NA,NA,NA,NA,TBA
Brevicoryne brassicae,"(Linnaeus, 1758)",Hemiptera,Aphididae,1927,NA,NA,NA,NA,TBA
Bromocoris olens,Horvath,Hemiptera,Pentatomidae,NA,NA,NA,NA,NA,TBA
Brontispa longissima,Gestro,Coleoptera,Chrysomelidae,1937,NA,NA,NA,NA,TBA
Bruchophagus gibbus,(Boheman),Hymenoptera,Eurytomidae,1958,NA,NA,NA,NA,TBA
Bruchophagus roddi,Gussakovski,Hymenoptera,Eurytomidae,1935,NA,NA,NA,NA,TBA
Bruchus pisorum,(Linnaeus),Coleoptera,Chrysomelidae,1924,NA,NA,NA,NA,TBA
Bruchus rufimanus,"(Boheman, 1833)",Coleoptera,Chrysomelidae,1964,NA,NA,NA,NA,TBA
Bucculatrix gossypii,Turner,Lepidoptera,Bucculatricidae,1967,NA,NA,NA,NA,TBA
Buprestis novemmaculata,"Linnaeus, 1768",Coleoptera,Buprestidae,1970,Europe,NA,NA,NA,"Nahrung, 2020"
Cadra cautella,Walker,Lepidoptera,Pyralidae,1912,NA,NA,NA,NA,TBA
Cadra figulilella,"(Gregson, 1871)",Lepidoptera,Pyralidae,1937,NA,NA,NA,NA,TBA
Calaphis flava,(Mordvilko),Hemiptera,Aphididae,1948,Europe,NA,NA,NA,"Nahrung, 2020"
Caliroa cerasi,"(Linnaeus, 1758)",Hymenoptera,Thenthredinidae,2004,NA,NA,NA,NA,TBA
Callosobruchus analis,(Fabricius),Coleoptera,Chrysomelidae,1925,NA,NA,NA,NA,TBA
Callosobruchus chinensis,"(Linnaeus, 1758)",Coleoptera,Chrysomelidae,1890,NA,NA,NA,NA,TBA
Callosobruchus maculatus,"(Fabricius, 1775)",Coleoptera,Chrysomelidae,1932,NA,NA,NA,NA,TBA
Callosobruchus phaseoli,"(Gyllenhal, 1833)",Coleoptera,Chrysomelidae,1915,NA,NA,NA,NA,TBA
Caloptilia azaleella,Brants,Lepidoptera,Gracillariidae,1965,NA,NA,NA,0,TBA
Capitophorus elaeagni,del Guercio,Hemiptera,Aphididae,1936,NA,NA,NA,NA,TBA
Capitophorus hippophaes,Walker,Hemiptera,Aphididae,1960,NA,NA,NA,NA,TBA
Cardiastethus minutus,Poppius,Hemiptera,Anthocoridae,1977,NA,NA,NA,NA,TBA
Carpophilus dimidiatus,(Fabricius: 1792),Coleoptera,Nitidulidae,1918,NA,NA,NA,NA,TBA
Carpophilus freemani,Dobson,Coleoptera,Nitidulidae,NA,NA,NA,NA,NA,TBA
Carpophilus fumatus,Boheman,Coleoptera,Nitidulidae,1961,NA,NA,NA,NA,TBA
Carpophilus hemipterus,"(Linnaeus, 1758)",Coleoptera,Nitidulidae,1898,NA,NA,NA,NA,TBA
Carpophilus ligneus,Murray,Coleoptera,Nitidulidae,1967,NA,NA,NA,NA,TBA
Carpophilus maculatus,(Murray),Coleoptera,Nitidulidae,2008,NA,NA,NA,NA,TBA
Carpophilus marginellus,Motschulsky,Coleoptera,Nitidulidae,1899,NA,NA,NA,NA,TBA
Carpophilus mutilatus,Erichson,Coleoptera,Nitidulidae,1937,NA,NA,NA,NA,TBA
Carpophilus obsoletus,Erichson,Coleoptera,Nitidulidae,1951,NA,NA,NA,NA,TBA
Carpophilus pilosellus,Motschulsky,Coleoptera,Nitidulidae,1950,NA,NA,NA,NA,TBA
Caryedon gonagra,(Fabricius: 1798),Coleoptera,Chrysomelidae,1947,NA,NA,NA,NA,TBA
Caryedon serratus,Olivier,Coleoptera,Chrysomelidae,1978,NA,NA,NA,NA,TBA
Cavariella aegopodii,Scopoli,Hemiptera,Aphididae,1940,Europe,NA,NA,NA,"Nahrung, 2020"
Cerataphis brasiliensis,(Hempel),Hemiptera,Aphididae,2014,NA,NA,NA,NA,TBA
Cerataphis lataniae,Boisduval,Hemiptera,Aphididae,1954,NA,NA,NA,NA,TBA
Cerataphis orchidearum,Westwood,Hemiptera,Aphididae,2015,NA,NA,NA,NA,TBA
Ceratitis capitata,"(Wiedemann, 1824)",Diptera,Tephritidae,1909,NA,NA,NA,NA,TBA
Cerodontha australis,Malloch,Diptera,Agromyzidae,1965,NA,NA,NA,NA,TBA
Ceroplastes ceriferus,Fabricius,Hemiptera,Coccidae,1910,NA,NA,NA,NA,TBA
Ceroplastes destructor,"(Newstead, 1917)",Hemiptera,Coccidae,1920,NA,NA,NA,NA,TBA
Ceroplastes floridensis,(Comstock),Hemiptera,Coccidae,1911,NA,NA,NA,NA,"Nahrung, 2020"
Ceroplastes rubens,Maskell,Hemiptera,Coccidae,1896,Africa,NA,NA,NA,"Nahrung, 2020"
Ceroplastes rusci,Linnaeus,Hemiptera,Coccidae,1965,NA,NA,NA,NA,TBA
Ceroplastes sinensis,Del Guercio,Hemiptera,Coccidae,1967,Asia,NA,NA,NA,"Nahrung, 2020"
Chaetocnema concinna,(Marsham),Coleoptera,Chrysomelidae,1940,NA,NA,NA,NA,TBA
Chaetococcus bambusae,(Marshall),Hemiptera,Pseudococcidae,1915,NA,NA,NA,NA,TBA
Chaetosiphon fragaefolii,Cockerell,Hemiptera,Aphididae,1934,NA,NA,NA,NA,TBA
Chaetosiphon tetrarhodum,Walker,Hemiptera,Aphididae,1920,NA,NA,NA,NA,TBA
Chaetosiphon thomasi,Hille Ris Lambers,Hemiptera,Aphididae,2011,NA,NA,NA,NA,TBA
Chaitophorus leucomelas,Koch,Hemiptera,Aphididae,1901,Eurasia,NA,NA,NA,"Nahrung, 2020"
Chelisoches morio,(Fabricius),Dermaptera,Chelisochidae,NA,NA,NA,NA,NA,TBA
Chilo suppressalis,Walker,Lepidoptera,Pyralidae,1916,NA,NA,NA,NA,TBA
Chlorophorus annularis,(Fabricius),Coleoptera,Cerambycidae,1924,NA,NA,NA,NA,TBA
Chlumetia euthysticha,(Turner),Lepidoptera,Noctuidae,1989,NA,?native,NA,NA,TBA
Chorizococcus rostellum,Lobdell,Hemiptera,Pseudococcidae,1930,NA,NA,NA,NA,TBA
Chromatomyia syngenesiae,Hardy,Diptera,Agromyzidae,1950,NA,synonym of Phytomyza syngenesiae (1970),NA,NA,TBA
Chryseococcus arecae,(Maskell),Hemiptera,Pseudococcidae,1954,NA,NA,NA,NA,TBA
Chrysomphalus aonidum,"(Linnaeus, 1758)",Hemiptera,Diaspididae,1912,NA,NA,NA,NA,TBA
Chrysomphalus bifasciculatus,Ferris,Hemiptera,Diaspididae,1990,NA,NA,NA,NA,TBA
Chrysomphalus dictyospermi,Morgan,Hemiptera,Diaspididae,1912,Asia,NA,NA,NA,"Nahrung, 2020"
Chrysomphalus pinnulifer,Maskell,Hemiptera,Diaspididae,1955,Asia,NA,NA,NA,"Nahrung, 2020"
Cicadulina bimaculata,"(Evans, 1940)",Hemiptera,Cicadellidae,1958,NA,NA,NA,NA,TBA
Cinara cupressi,(Buckton),Hemiptera,Aphididae,1964,N.America,NA,NA,NA,"Nahrung, 2020"
Cinara fresai,Blanchard,Hemiptera,Aphididae,1975,N.America,NA,NA,NA,"Nahrung, 2020"
Cinara juniperi,(de Geer),Hemiptera,Aphididae,1920,Europe,NA,NA,NA,"Nahrung, 2020"
Cinara pilicornis,(Hartig),Hemiptera,Aphididae,1899,Europe,NA,NA,NA,"Nahrung, 2020"
Cinara tujafilina,(Del Guercio),Hemiptera,Aphididae,1913,Europe,NA,NA,NA,"Nahrung, 2020"
Citripestis eutraphera,(Meyrick),Lepidoptera,Pyralidae,1973,NA,NA,NA,NA,TBA
Clavaspis herculeana,(Cockerell & Hadden),Hemiptera,Diaspididae,1938,S.America,NA,NA,NA,"Nahrung, 2020"
Closterotomus norvegicus,(Gmelin),Hemiptera,Miridae,1899,NA,NA,NA,NA,TBA
Cnaphalocrocis poeyalis,(Boisduval),Lepidoptera,Pyralidae,1897,NA,NA,NA,NA,TBA
Coccotrypes advena,(Blandford),Coleoptera,Curculionidae,NA,NA,NA,NA,NA,TBA
Coccotrypes cardamomi,Schaufuss,Coleoptera,Curculionidae,2008,NA,NA,NA,NA,TBA
Coccotrypes carpophagus,(Hornung),Coleoptera,Scolytidae,2000,NA,NA,NA,NA,TBA
Coccotrypes cyperi,(Beeson),Coleoptera,Curculionidae,2015,NA,NA,NA,NA,TBA
Coccotrypes dactyliperda,(Fabricius),Coleoptera,Scolytidae,2000,NA,NA,NA,NA,TBA
Coccotrypes myristicae,(Roepke),Coleoptera,Curculionidae,NA,NA,NA,NA,NA,TBA
Coccotrypes nubilus,(Blandford),Coleoptera,Curculionidae,NA,NA,NA,NA,NA,TBA
Coccus hesperidum,(Newstead),Hemiptera,Coccidae,1923,Europe,NA,NA,NA,"Nahrung, 2020"
Coccus longulus,(Douglas),Hemiptera,Coccidae,1899,Pacific,NA,NA,NA,"Nahrung, 2020"
Coccus pseudomagnoliarum,Kuwana,Hemiptera,Coccidae,1895,NA,NA,NA,NA,TBA
Coccus viridis,Green,Hemiptera,Coccidae,1948,S.America or Africa,NA,NA,NA,"Nahrung, 2020"
Cofana spectra,Distant,Hemiptera,Cicadellidae,1918,NA,NA,NA,NA,TBA
Colaspoides foveiventris,Lea,Coleoptera,Chrysomelidae,1898,NA,NA,NA,NA,TBA
Colobicus parilis,Pascoe,Coleoptera,Zopheridae,1983,NA,NA,NA,NA,TBA
Coloradoa rufomaculata,Wilson,Hemiptera,Aphididae,1932,NA,NA,NA,NA,TBA
Conchaspis angraeci,Cockerell,Hemiptera,Conchaspidae,2002,N.America,NA,NA,NA,"Nahrung, 2020"
Conogethes punctiferalis,GuenÃ©e,Lepidoptera,Crambidae,1903,NA,NA,NA,NA,TBA
Contarinia geniculati,Reuter,Diptera,Cecidomyiidae,1942,NA,NA,NA,NA,TBA
Contarinia sorghicola,Coquillett,Diptera,Cecidomyiidae,1947,NA,NA,NA,NA,TBA
Corcyra cephalonica,Stainton,Lepidoptera,Pyralidae,1912,NA,NA,NA,NA,TBA
Corticaria japonica,Reitter,Coleoptera,Latridiidae,1922,NA,NA,NA,NA,TBA
Corythucha ciliata,Say,Hemiptera,Tingidae,1902,N.America,NA,NA,NA,"Nahrung, 2020"
Cosmobaris discolor,(Boheman),Coleoptera,Curculionidae,1927,NA,NA,NA,NA,TBA
Cosmopolites sordidus,Germar,Coleoptera,Curculionidae,1994,NA,NA,NA,NA,TBA
Crocidolomia pavonana,Fabricius,Lepidoptera,Pyralidae,1934,NA,NA,NA,NA,TBA
Crocidosema plebejana,Zeller,Lepidoptera,Tortricidae,1974,NA,NA,NA,NA,TBA
Cryptamorpha desjardinisi,(Guerin-Meneville),Coleoptera,Silvanidae,NA,NA,NA,NA,NA,TBA
Cryptoblabes adoceta,Turner,Lepidoptera,Pyralidae,1955,NA,NA,NA,NA,TBA
Cryptolestes diemenensis,(Blackburn),Coleoptera,Laemophloeidae,NA,NA,NA,NA,NA,TBA
Cryptolestes ferrugineus,(Stephens),Coleoptera,Laemophloeidae,1954,NA,NA,NA,NA,TBA
Cryptolestes pusilloides,(Steel & Howe),Coleoptera,Laemophloeidae,1911,NA,NA,NA,NA,TBA
Cryptolestes pusillus,(SchÃ¶nherr),Coleoptera,Laemophloeidae,1927,NA,NA,NA,NA,TBA
Cryptophilus integer,(Heer),Coleoptera,Erotylidae,NA,NA,NA,NA,NA,TBA
Cryptotermes brevis,Walker,Isoptera,Kalotermitidae,1981,NA,NA,NA,NA,TBA
Cryptotermes cynocephalus,Light,Isoptera,Kalotermitidae,1975,NA,NA,NA,NA,TBA
Cryptotermes dudleyi,Banks,Isoptera,Kalotermitidae,1973,NA,NA,NA,NA,TBA
Culicoides brevitarsis,Kieffer,Diptera,Ceratopogonidae,1996,NA,NA,NA,NA,TBA
Cyclocephala signaticollis,Burmeister,Coleoptera,Scarabaeidae,1939,NA,NA,NA,NA,TBA
Cydia pomonella,"(Linnaeus, 1758)",Lepidoptera,Tortricidae,1918,NA,NA,NA,NA,TBA
Cylas formicarius,Fabricius,Coleoptera,Brentidae,1911,NA,NA,NA,NA,TBA
Cyrtogenius brevior,Eggers,Coleoptera,Curculionidae,1990,NA,NA,NA,NA,TBA
Cyrtogenius fijianus,(Schedl),Coleoptera,Curculionidae,1999,NA,NA,NA,NA,TBA
Dacne picta,Crotch,Coleoptera,Erotylidae,1977,NA,NA,NA,NA,TBA
Daktulosphaira vitifoliae,(Fitch),Hemiptera,Phylloxeridae,1923,NA,synonym of Viteus vitifoliae (1962),NA,NA,TBA
Danaus plexippus,Linnaeus,Lepidoptera,Nymphalidae,1951,NA,?native,NA,NA,TBA
Dasynus fuscescens,Distant,Hemiptera,Coreidae,1926,NA,NA,NA,NA,TBA
Deanolis sublimbalis,Snellen,Lepidoptera,Crambidae,2001,NA,NA,NA,NA,TBA
Delia platura,"(Meigen, 1826)",Diptera,Anthomyiidae,1938,NA,NA,NA,NA,TBA
Deraeocoris signatus,Distant,Hemiptera,Miridae,1974,NA,NA,NA,NA,TBA
Dermestes ater,De Geer,Coleoptera,Dermestidae,1924,NA,NA,NA,NA,TBA
Dermestes carnivorus,Fabricius,Coleoptera,Dermestidae,1976,NA,NA,NA,NA,TBA
Dermestes frischii,Kugelann: 1892,Coleoptera,Dermestidae,1943,NA,NA,NA,NA,TBA
Dermestes haemorrhoidalis,KÃƒÂ¼ster,Coleoptera,Dermestidae,1975,NA,NA,NA,NA,TBA
Dermestes lardarius,Linnaeus: 1758,Coleoptera,Dermestidae,1951,NA,NA,NA,NA,TBA
Dermestes maculatus,De Geer,Coleoptera,Dermestidae,1901,NA,NA,NA,NA,TBA
Dermestes peruvianus,Laporte,Coleoptera,Dermestidae,1955,NA,NA,NA,NA,TBA
Diacrotricha fasciola,(Zeller),Lepidoptera,Pterophoridae,2012,NA,NA,NA,NA,TBA
Diamerus curvifer,(Walker),Coleoptera,Curculionidae,2011,NA,NA,NA,NA,TBA
Diaphania indica,(Saunders),Lepidoptera,Pyralidae,1903,NA,NA,NA,NA,TBA
Diapus pusillimus,Chapuis,Coleoptera,Curculionidae,1927,NA,NA,NA,NA,TBA
Diaspidiotus ancylus,Putnam,Hemiptera,Diaspididae,1939,N.America,NA,NA,NA,"Nahrung, 2020"
Diaspidiotus ostreaeformis,"(Curtis, 1843)",Hemiptera,Diaspididae,1948,Europe,NA,NA,NA,"Nahrung, 2020"
Diaspidiotus perniciosus,(Comstock),Hemiptera,Diaspididae,1900,Asia,NA,NA,NA,"Nahrung, 2020"
Diaspidiotus pyri,Lichtenstein,Hemiptera,Diaspididae,1935,NA,NA,NA,NA,TBA
Diaspis boisduvali,(Signoret),Hemiptera,Diaspididae,1934,NA,NA,NA,NA,TBA
Diaspis bromeliae,Kerner,Hemiptera,Diaspididae,1954,NA,NA,NA,NA,TBA
Diaspis echinocacti,(Bouche),Hemiptera,Diaspididae,1900,NA,NA,NA,NA,TBA
Dinoderus minutus,Fabricius,Coleoptera,Bostrichidae,1923,Asia,NA,NA,NA,"Nahrung, 2020"
Dinoderus ocellaris,Stephens,Coleoptera,Bostrichidae,1956,NA,NA,NA,NA,TBA
Dinoplatypus forficula,(Chapuis),Coleoptera,Curculionidae,2013,NA,NA,NA,NA,TBA
Diocalandra frumenti,(Fabricius),Coleoptera,Curculionidae,1913,NA,NA,NA,NA,TBA
Diuncus haberkorni,(Eggers),Coleoptera,Curculionidae,NA,NA,NA,NA,NA,TBA
Diuncus justus,(Schedl),Coleoptera,Curculionidae,1953,NA,NA,NA,NA,TBA
Diuraphis noxia,Kurdjumov,Hemiptera,Aphididae,2016,NA,NA,NA,NA,TBA
Drepanosiphum platanoidis,(Schrank),Hemiptera,Aphididae,1948,Europe,NA,NA,NA,"Nahrung, 2020"
Dryocoetiops coffeae,(Eggers),Coleoptera,Curculionidae,NA,NA,NA,NA,NA,TBA
Dysaphis apiifolia,"(Theobald, 1923)",Hemiptera,Aphididae,1943,NA,NA,NA,NA,TBA
Dysaphis aucupariae,(Buckton),Hemiptera,Aphididae,1981,Europe,NA,NA,NA,"Nahrung, 2020"
Dysaphis foeniculus,Theobald,Hemiptera,Aphididae,1927,NA,NA,NA,NA,TBA
Dysaphis radicola,(Mordvilko),Hemiptera,Aphididae,2005,NA,NA,NA,NA,TBA
Dysaphis tulipae,Boyer de Fonscolombe,Hemiptera,Aphididae,1920,NA,NA,NA,NA,TBA
Dysmicoccus boninsis,Kuwana,Hemiptera,Pseudococcidae,1931,NA,NA,NA,NA,TBA
Dysmicoccus brevipes,Cockerell,Hemiptera,Pseudococcidae,1912,NA,NA,NA,NA,TBA
Earias vittella,Fabricius,Lepidoptera,Noctuidae,1955,NA,NA,NA,NA,TBA
Ectomyelois ceratoniae,"(Zeller, 1839)",Lepidoptera,Pyralidae,1940,NA,NA,NA,NA,TBA
Edwardsiana crataegi,"Douglas, 1876",Hemiptera,Cicadellidae,1958,NA,NA,NA,NA,TBA
Elatobium abietinum,(Walker),Hemiptera,Aphididae,1952,Europe,NA,NA,NA,"Nahrung, 2020"
Empicoris rubromaculatus,Blackburn,Hemiptera,Psyllidae,1932,NA,NA,NA,NA,TBA
Endrosis sarcitrella,"(Linnaeus, 1758)",Lepidoptera,Oecophoridae,1969,NA,NA,NA,0,TBA
Engytatus nicotianae,Koningsberger,Hemiptera,Miridae,1925,NA,NA,NA,NA,TBA
Ephestia elutella,"(HÃ¼bner, 1796)",Lepidoptera,Pyralidae,1904,NA,NA,NA,NA,TBA
Ephestia kuehniella,Zeller,Lepidoptera,Pyralidae,1912,NA,NA,NA,NA,TBA
Epuraea ocularis,Murray,Coleoptera,Nitidulidae,1935,NA,NA,NA,NA,TBA
Eriosoma lanigera,"(Hausmann, 1802)",Hemiptera,Aphididae,1920,NA,NA,NA,NA,TBA
Eriosoma lanuginosum,(Hausman),Hemiptera,Aphididae,1948,Europe,NA,NA,NA,"Nahrung, 2020"
Eriosoma pyricola,Baker & Davidson,Hemiptera,Aphididae,1934,Europe,NA,NA,NA,"Nahrung, 2020"
Ernobius mollis,(Linneaus),Coleoptera,Anobiidae,1928,Europe,NA,NA,NA,"Nahrung, 2020"
Essigella californica,(Essig),Hemiptera,Aphididae,1998,N.America,NA,NA,NA,"Nahrung, 2020"
Etiella zinckenella,Treitschke,Lepidoptera,Pyralidae,1915,NA,NA,NA,NA,TBA
Euborellia annulipes,Lucas,Dermaptera,Anisolabididae,2004,NA,NA,NA,NA,TBA
Eucalymnatus tessellatus,(Signoret),Hemiptera,Coccidae,1896,S.America,NA,NA,NA,"Nahrung, 2020"
Eucarazzia elegans,(Ferrari),Hemiptera,Aphididae,1994,NA,NA,NA,NA,TBA
