GENUS_SPECIES,Authority,COMMON.NAME,Pest Type,JP NAME,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Acalolepta permutans okinawana,NA,NA,Tree,オキナワキンケビロウドカミキリ,Coleoptera,NA,Cerambycidae,2001,NA,Wood,Palearctic(Asia),"Yamanaka, 2015"
Aromia bungii,(Faldermann),NA,Outdoor:Tree,クビアカツヤカミキリ,Coleoptera,NA,Cerambycidae,2012,NA,Leaf (桜など生木),Palearctic(Asia),"Yamanaka, 2015"
Cerambyx tetrophthalmus,NA,NA,Greenhouse,トウワタベニカミキリ,Coleoptera,NA,Cerambycidae,1913,NA,Leaf (トウワタ),Nearctic,"Yamanaka, 2015"
Ceresium sinicum,(Signoret),NA,Tree,テツイロヒメカミキリ,Coleoptera,NA,Cerambycidae,1873,NA,Wood: Leaf,Palearctic(Asia),"Yamanaka, 2015"
Mesosa perplexa,(Signoret),NA,Outdoor:Tree:Timber,チャゴマフカミキリ,Coleoptera,NA,Cerambycidae,NA,NA,Wood: Leaf,Indomalaya,"Yamanaka, 2015"
Paraglenea fortunei,(Saunders),NA,Tree,ラミーカミキリ,Coleoptera,NA,Cerambycidae,NA,NA,Leaf (カラムシなど),Palearctic(Asia),"Yamanaka, 2015"
Prosoplus bankii,(Fabricius),NA,Tree,ムラヤマムネコブサビカミキリ,Coleoptera,NA,Cerambycidae,NA,NA,Wood: Leaf,Indomalaya,"Yamanaka, 2015"
Psacothea hilaris,NA,NA,Outdoor,キボシカミキリ東日本型,Coleoptera,NA,Cerambycidae,1930,NA,Wood: Leaf,Palearctic(Asia)  Indomalaya,"Yamanaka, 2015"
Ropica dorsalis,Kuschel,NA,Tree:Timber,タイリクフタホシサビカミキリ,Coleoptera,NA,Cerambycidae,1959,NA,Wood,Indomalaya,"Yamanaka, 2015"
Trirachys orientalis,Chittenden,NA,Tree,トゲムネミヤマカミキリ,Coleoptera,NA,Cerambycidae,1961,NA,Wood: Leaf,Indomalaya,"Yamanaka, 2015"
