GENUS_SPECIES,Authority,COMMON.NAME,Pest Type,JP NAME,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Carpophilus marginellus,Motschulsky,NA,Stored,クリイロデオキスイ,Coleoptera,NA,Nitidulidae,1957,NA,Seeds,Palearctic(Asia),"Yamanaka, 2015"
Carpophilus pilosellus,NA,NA,Stored,コメノケシキスイ,Coleoptera,NA,Nitidulidae,1945,NA,Seeds,Palearctic(Asia),"Yamanaka, 2015"
Nacerdes melanura,(Linnaeus),NA,Timber,ツマグロカミキリモドキ,Coleoptera,NA,Oedemeridae,NA,NA,Wood (朽木を食べるそうです),Palearctic(Europe),"Yamanaka, 2015"
Diapus aculeatus,Blandford,NA,Timber,トゲナガキクイムシ,Coleoptera,NA,Platypodidae,NA,NA,Wood,Indomalaya,"Yamanaka, 2015"
Gibbium aequinoctiale,Boieldieu,smooth spider beetle,Stored,ニセセマルヒョウホンムシ,Coleoptera,NA,Ptinidae,1901,NA,DryA,Neotropic,"Yamanaka, 2015"
Gibbium psylloides,(Czempinski),NA,Stored,セマルヒョウホンムシ,Coleoptera,NA,Ptinidae,1967,NA,DryA,Palearctic(Europe),"Yamanaka, 2015"
Pseudeurostus hilleri,(Reitter),two-banded Japanese weevil,Stored,カバイロヒョウホンムシ,Coleoptera,NA,Ptinidae,1945,NA,DryA,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Ptinus clavipes,(Walker),NA,Stored,ヒメヒョウホンムシ,Coleoptera,NA,Ptinidae,1951,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Ptinus fur,(Newman),NA,Stored,ヒョウホンムシ,Coleoptera,NA,Ptinidae,1926,NA,DryA,Palearctic(Europe),"Yamanaka, 2015"
Ptinus japonicus,(Risso),NA,Stored,ナガヒョウホンムシ,Coleoptera,NA,Ptinidae,1926,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Monotoma longicollis,(Bojer),NA,Stored,ホソムネデオネスイ,Coleoptera,NA,Rhizophagidae,NA,NA,Seeds,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Monotoma picipes,Herbst,NA,Stored,トビイロデオネスイ,Coleoptera,NA,Rhizophagidae,NA,NA,Seeds,Palearctic(Europe),"Yamanaka, 2015"
Monotoma quadrifoveolata,NA,syn (Monotoma quodrifoveolata),Stored,ヨツアナデオネスイ,Coleoptera,NA,Rhizophagidae,NA,NA,Seeds,NA,"Yamanaka, 2015"
Monotoma spinicollis,NA,NA,Stored,トゲムネデオネスイ,Coleoptera,NA,Rhizophagidae,NA,NA,Seeds,NA,"Yamanaka, 2015"
Aplotes roelofsi,Degeer,NA,Not pest,トホシオサゾウムシ,Coleoptera,NA,Rhynchophoridae,NA,NA,Leaf (ツユクサ),Palearctic(Asia),"Yamanaka, 2015"
Diocalandra elongata,(Linnaeus),NA,Stored,コササコクゾウムシ,Coleoptera,NA,Rhynchophoridae,NA,NA,Seeds,NA,"Yamanaka, 2015"
Diocalandra kamiyai,(Karny),syn (Diocalandra kamiya),Tree:Timber,カミヤササコクゾウムシ,Coleoptera,NA,Rhynchophoridae,NA,NA,Seeds,NA,"Yamanaka, 2015"
Diocalandra sasa,(Fabricius),NA,Timber,ササコクゾウムシ,Coleoptera,NA,Rhynchophoridae,NA,NA,Seeds,NA,"Yamanaka, 2015"
Rhynchophorus ferrugineus,(Olivier),Red Palm Weevil,Tree,ヤシオオオサゾウムシ,Coleoptera,NA,Rhynchophoridae,1998,NA,Leaf (ヤシ類),Indomalaya  Oceania,"Yamanaka, 2015"
Sitophilus oryzae,(Linnaeus),Rice weevil :  rice weevil:lesser rice weevil,Stored,ココクゾウムシ,Coleoptera,NA,Rhynchophoridae,NA,NA,Seeds,Palearctic(Asia),"Yamanaka, 2015"
Sitophilus zeamais,Motschulsky,NA,Stored,コクゾウムシ,Coleoptera,NA,Rhynchophoridae,NA,NA,Seeds,NA,"Yamanaka, 2015"
Sphenophorus venatus vestitus,Chittenden,hunting billbug: syn (Sphenophorus venatus),Greenhouse,シバオサゾウムシ,Coleoptera,NA,Rhynchophoridae,1964,NA,Leaf (芝),Nearctic,"Yamanaka, 2015"
Prosopocoilus dissimilis,NA,NA,Not pest,アマミノコギリクワガタ,Coleoptera,NA,Scarabaeidae,2005,NA,Wood,Palearctic(Asia),"Yamanaka, 2015"
Protaetia pryeri oschimana,NA,NA,Not pest,リュキュウツヤハナムグリ,Coleoptera,NA,Scarabaeidae,1985,NA,Wood (昆虫マット？),Palearctic(Asia),"Yamanaka, 2015"
Ahasverus advena,(Waltl),foreign grain beetle,Stored,カドコブホソヒラタムシ,Coleoptera,NA,Silvanidae,1957,NA,Seeds: Fungus,Palearctic(Asia),"Yamanaka, 2015"
Monanus concinnulus,(Walker),NA,Stored,チビセマルホソヒラタムシ,Coleoptera,NA,Silvanidae,1977,NA,Seeds,Pantropic,"Yamanaka, 2015"
Oryzaephilus mercator,(Fauvel),merchant grain beetle,Stored,オオメノコギリヒラタムシ,Coleoptera,NA,Silvanidae,1989,NA,Seeds,Palearctic(Asia),"Yamanaka, 2015"
Oryzaephilus surinamensis,(Linnaeus),Saw-toothed grain beetle :  saw-toothed grain beetle,Outdoor:Stored,ノコギリヒラタムシ,Coleoptera,NA,Silvanidae,NA,NA,Seeds,Neotropic,"Yamanaka, 2015"
Silvanus bidentatus,(Fabricius),NA,Stored,フタトゲホソヒラタムシ,Coleoptera,NA,Silvanidae,NA,NA,Seeds,Palearctic(Europe),"Yamanaka, 2015"
Silvanus lewisi,Reitter,NA,Stored,ヒメフタトゲホソヒラタムシ,Coleoptera,NA,Silvanidae,NA,NA,Seeds,Indomalaya Afrotropic,"Yamanaka, 2015"
Anotylus amicus,(Bernhauer),NA,Not pest (Predator),コバネアシベセスジハネカクシ,Coleoptera,NA,Staphylinidae,2006,NA,Insect,Palearctic(Asia),"Yamanaka, 2015"
Platystethus americanus,Erichson,NA,Not pest (Predator),クロツヤカワベハネカクシ,Coleoptera,NA,Staphylinidae,NA,NA,Insect,Nearctic,"Yamanaka, 2015"
Alphitobius diaperinus,(Panzer),lesser mealworm beetle:lesser mealworm,Stored,ガイマイゴミムシダマシ,Coleoptera,NA,Tenebrionidae,1957,NA,Seeds,Afrotropic,"Yamanaka, 2015"
Alphitobius laevigatus,(Fabricius),black fungus beetle,Stored,ヒメゴミムシダマシ,Coleoptera,NA,Tenebrionidae,1957,NA,Seeds,Indomalaya  Afrotropic  Australasia,"Yamanaka, 2015"
Alphitophagus bifasciatus,(Horsfield),NA,Stored,フタオビツヤゴミムシダマシ,Coleoptera,NA,Tenebrionidae,1957,NA,Seeds,NA,"Yamanaka, 2015"
Gnathocerus cornutus,(Fabricius),broadhorned flour beetle,Stored,オオツノコクヌストモドキ,Coleoptera,NA,Tenebrionidae,1953,NA,Seeds,Indomalaya  Afrotropic,"Yamanaka, 2015"
Latheticus oryzae,Waterhouse,NA,Stored,コゴメゴミムシダマシ,Coleoptera,NA,Tenebrionidae,1953,NA,Seeds,Indomalaya Neotropic Aflotropic,"Yamanaka, 2015"
Palorus ratzeburgii,(Wissmann),the small-eyed flour beetle: syn (Palorus ratzeburgi),Stored,ヒメコクヌストモドキ,Coleoptera,NA,Tenebrionidae,NA,NA,Seeds,NA,"Yamanaka, 2015"
Palorus subdepressus,(Wollaston),NA,Stored,コヒメコクヌストモドキ,Coleoptera,NA,Tenebrionidae,1955,NA,Seeds,Palearctic(Asia),"Yamanaka, 2015"
Tenebrio molitor,Linnaeus,yellow mealworm:yellow mealworm beetle:mealworm,Stored,チャイロコメノゴミムシダマシ,Coleoptera,NA,Tenebrionidae,NA,NA,Seeds,Palearctic(Asia) Palearctic(Europe) indomalaya,"Yamanaka, 2015"
Tenebrio obscurus,(Olivier),NA,Stored,コメノゴミムシダマシ,Coleoptera,NA,Tenebrionidae,1931,NA,Seeds,Palearctic(Europe),"Yamanaka, 2015"
Tribolium castaneum,(Herbst),red-rust flour beetle :  red flour beetle:rust-red flour beetle:wee flour beetle:ferruginous flour beetle:brown grain beetle:red-brown rice-flour beetle,Stored,コクヌストモドキ,Coleoptera,NA,Tenebrionidae,1501,NA,Seeds,Australasia,"Yamanaka, 2015"
Tribolium confusum,Jacquelin du Val,confused flour beetle:pollard weevil:American rice-flour beetle,Stored,ヒラタコクヌストモドキ,Coleoptera,NA,Tenebrionidae,1953,NA,Seeds,Afrotropic,"Yamanaka, 2015"
Tribolium freemani,(Bernard),NA,Stored,カシミールコクヌストモドキ,Coleoptera,NA,Tenebrionidae,1979,NA,Seeds,Indomalaya,"Yamanaka, 2015"
Lophocateres pusillus,(Klug),Japanese maple scale,Stored,ホソチビコクヌスト,Coleoptera,NA,Trogossitidae,1985,NA,Seeds,Indomalaya,"Yamanaka, 2015"
Tenebroides mauritanicus,(Linnaeus),cadelle,Stored,コクヌスト,Coleoptera,NA,Trogossitidae,NA,NA,Seeds,Cosmopolitan,"Yamanaka, 2015"
Allocontarinia sorghicola,Panzer,NA,Outdoor,ソルガムタマバエ,Diptera,蚊亜目,Cecidomyiidae,1953,NA,Leaf (ソルガム),NA,"Yamanaka, 2015"
Lasioptera sp,NA,NA,Greenhouse,トマトウロコタマバエ,Diptera,蚊亜目,Cecidomyiidae,2012,NA,Leaf,NA,"Yamanaka, 2015"
Mycophila speyeri,(Linnaeus),NA,Outdoor,スペイヤーキノコタマバエ,Diptera,蚊亜目,Cecidomyiidae,1985,NA,Fungus,Palearctic(Asia)  Palearctic(Europe)  Nearctic,"Yamanaka, 2015"
Obolodiplosis robiniae,NA,NA,Tree,ハリエンジュハベリマキタマバエ,Diptera,蚊亜目,Cecidomyiidae,2002,NA,Leaf (ハリエンジュ),Nearctic,"Yamanaka, 2015"
Resseliella sp.,NA,NA,Outdoor,ナシシンクイタマバエ,Diptera,蚊亜目,Cecidomyiidae,1919,NA,Fruits (ナシ),NA,"Yamanaka, 2015"
Aedes aegypti,(Linnaeus),yellow fever mosquito: syn (Aedes aegypti),Sanit,ネッタイシマカ,Diptera,蚊亜目,Culicidae,1944,NA,Animal,Afrotropic,"Yamanaka, 2015"
Culex pipiens,Linnaeus,syn (Culex pipiens molestus),Sanit,チカイエカ,Diptera,蚊亜目,Culicidae,1943,NA,Animal,Afrotropic,"Yamanaka, 2015"
Clogmia albipunctata,(Williston),bathroom fly,Sanit,オオケチョウバエ,Diptera,蚊亜目,Psychodidae,1965,NA,Detritivore,Pantropic,"Yamanaka, 2015"
Tinearia alternata,Say,NA,Sanit,ホシチョウバエ,Diptera,蚊亜目,Psychodidae,NA,NA,Detritivore,Palearctic(Asia),"Yamanaka, 2015"
Coboldia fuscipes,(Meigen),syn (Scatopse fuscipes),Outdoor:Sanit,ナガサキニセケバエ,Diptera,蚊亜目,Scatopsidae,NA,NA,Detritivore,Palearctic(Europe),"Yamanaka, 2015"
Scatopse notata,(Linnaeus),NA,Sanit,クロツヤニセケバエ,Diptera,蚊亜目,Scatopsidae,NA,NA,Detritivore,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Liriomyza dianthicola,(Fabricus）,NA,Greenhouse,カーネーションハモグリバエ,Diptera,ハエ亜目,Agromyzidae,1996,NA,Leaf,Palearctic(Asia),"Yamanaka, 2015"
Liriomyza huidobrensis,(Blanchard),South American leafminer,Outdoor:Greenhouse,アシグロハモグリバエ,Diptera,ハエ亜目,Agromyzidae,2001,NA,Leaf (キュウリ・白菜など),Nearctic,"Yamanaka, 2015"
Liriomyza sativae,Blanchard,vegetable leafminer :  legume leafminer,Outdoor:Greenhouse,トマトハモグリバエ,Diptera,ハエ亜目,Agromyzidae,1999,NA,Leaf,Nearctic  Neotropic,"Yamanaka, 2015"
Liriomyza trifolii,(Burgess),Celery leafminer :  legume leafminer,Outdoor:Greenhouse,マメハモグリバエ,Diptera,ハエ亜目,Agromyzidae,1990,NA,Leaf,Nearctic,"Yamanaka, 2015"
Hemipyrellia ligurriens,(Matsumura),NA,Sanit,トウキョウキンバエ,Diptera,ハエ亜目,Calliphoridae,1950,NA,Animal,Indomalaya,"Yamanaka, 2015"
Lucilia illustris,NA,NA,Sanit,ミドリキンバエ,Diptera,ハエ亜目,Calliphoridae,NA,NA,Animal,Palearctic(Asia)  Palearctic(Europe)  Nearctic,"Yamanaka, 2015"
Lucilia sericata,(Meigen),Greenbottle fly,Sanit,ヒロズキンバエ,Diptera,ハエ亜目,Calliphoridae,NA,NA,Animal,Palearctic(Europe)  Afrotropic,"Yamanaka, 2015"
Drosophila hydei,NA,NA,Sanit,カスリショウジョウバエ,Diptera,ハエ亜目,Drosophilidae,NA,NA,Detritivore,Cosmopolitan,"Yamanaka, 2015"
Drosophila immigrans,NA,NA,Outdoor,オオショウジョウバエ,Diptera,ハエ亜目,Drosophilidae,NA,NA,Detritivore,Pantropic,"Yamanaka, 2015"
Drosophila melanogaster,Meigen,common fruit fly,Outdoor,キイロショウジョウバエ,Diptera,ハエ亜目,Drosophilidae,NA,NA,Leaf: Fruits (発酵した果実・樹液),Cosmopolitan,"Yamanaka, 2015"
Drosophila　repleta,(Patterson),NA,Sanit,マダラショウジョウバエ,Diptera,ハエ亜目,Drosophilidae,NA,NA,NA,Paleartic(Asia) (Okinawa),"Yamanaka, 2015"
Drosophila simulans,Sturtevant,NA,Outdoor,オナジショウジョウバエ,Diptera,ハエ亜目,Drosophilidae,1972,NA,Detritivore,Palearctic(Asia),"Yamanaka, 2015"
Drosophila suzukii,(Matsumura),cherry drosophila: Spotted wing drosophila,Outdoor:Greenhouse,オウトウショウジョウバエ,Diptera,ハエ亜目,Drosophilidae,1916,NA,Leaf: Fruits,Palearctic(Asia),"Yamanaka, 2015"
Fannia canicularis,(Linnaeus),lesser house fly,Sanit,ヒメイエバエ,Diptera,ハエ亜目,Fanniidae,NA,NA,Animal: DryA: Detritivore,Cosmopolitan,"Yamanaka, 2015"
Haematobia irritans,(Linnaeus),horn-fly :  horn fly,Sanit,ノサシバエ,Diptera,ハエ亜目,Muscidae,NA,NA,Animal: DryA: Detritivore,Palearctic(Europe),"Yamanaka, 2015"
Musca crassirostris,NA,NA,Sanit,クチブトイエバエ,Diptera,ハエ亜目,Muscidae,1988,NA,Animal: DryA: Detritivore,NA,"Yamanaka, 2015"
Musca domestica,Linnaeus,House fly :  house fly,Sanit,イエバエ,Diptera,ハエ亜目,Muscidae,NA,NA,Animal: DryA: Detritivore,Cosmopolitan,"Yamanaka, 2015"
Dohrniphora cornuta,(Bigot),syn (Diploneura cornuta),Sanit,コシアキノミバエ,Diptera,ハエ亜目,Phoridae,NA,NA,Animal: DryA: Detritivore,Palearctic(Asia),"Yamanaka, 2015"
Megaselia scalaris,NA,NA,Sanit,クサビノミバエ,Diptera,ハエ亜目,Phoridae,1973,NA,Animal,Cosmopolitan,"Yamanaka, 2015"
Plethysmochaeta nobilis,NA,NA,Sanit,ナミツメイタノミバエ,Diptera,ハエ亜目,Phoridae,1990,NA,Detritivore,Indomalaya (Java),"Yamanaka, 2015"
Piophila casei,(Linnaeus),cheese skipper,Stored,チーズバエ,Diptera,ハエ亜目,Piophilidae,1951,NA,Animal: DryA: Detritivore,NA,"Yamanaka, 2015"
Psila nigricornis,NA,NA,Outdoor:Greenhouse,キクノネハネオレバエ,Diptera,ハエ亜目,Psilidae,1988,NA,Root (ニンジンの根),Palearctic(Europe),"Yamanaka, 2015"
Leptocera fuscipennis,NA,NA,Sanit,ハマベハヤトビバエ,Diptera,ハエ亜目,Sphaeroceridae,1977,NA,Detritivore,Palearctic(Europe),"Yamanaka, 2015"
Eumerus strigatus,Fallen,The onion bulb fly,Outdoor:Greenhouse,ハイジマハナアブ,Diptera,ハエ亜目,Syrphidae,NA,NA,Root (タマネギ),Palearctic(Asia),"Yamanaka, 2015"
Merodon equestris,(Fabricius),NA,Greenhouse,スイセンハナアブ,Diptera,ハエ亜目,Syrphidae,1953,NA,Root (スイセン・彼岸花の根),Palearctic(Asia),"Yamanaka, 2015"
Psila rosae,(Venturi),NA,Outdoor,ニンジンサビバエ,Diptera,ハエ亜目,Psilidae,NA,NA,Root (ニンジンの根),Palearctic(Europe),"Yamanaka, 2015"
Ophiomyia phaseoli,NA,NA,Outdoor,インゲンモグリバエ,Diptera,NA,Agromyzidae,1985,NA,Leaf,Paleartic(Asia) (Okinawa),"Yamanaka, 2015"
Dasineura oxycoccana,NA,NA,Outdoor,ブルーベリータマバエ,Diptera,NA,Cecidomyiidae,2015,NA,Fruits (ブルーベリー),Nearctic,"Yamanaka, 2015"
Nilodorum tainanus,NA,syn (Chironomus tainanus),Not pest,ミナミユスリカ,Diptera,NA,Chironomidae,1978,NA,Detritivore,Indomalaya,"Yamanaka, 2015"
Drosophila albomicans,NA,NA,Outdoor,アカショジョウバエ,Diptera,NA,Drosophilidae,1984,NA,Detritivore,Indomalaya,"Yamanaka, 2015"
Hypoderma lineatum,deVillers,Common cattle grub,Sanit,キスジウシバエ,Diptera,NA,Hypodermatidae,1954,NA,Animal,Palearctic(Europe),"Yamanaka, 2015"
Milichiella lacteipennis,(Loew),NA,Sanit,カケメクロコバエ,Diptera,NA,Milichiidae,NA,NA,Animal,Cosmopolitan,"Yamanaka, 2015"
Oestrus ovis,NA,sheep botfly,Sanit,ヒツジバエ,Diptera,NA,Oestridae,1956,NA,Animal,NA,"Yamanaka, 2015"
Hermetia illucens,(Fabricius）,Soldier fly,Sanit: Not pest?,アメリカミズアブ,Diptera,NA,Stratiomyidae,1951,NA,Fruits: Animal: DryA: Detritivore,Nearctic  Neotropic,"Yamanaka, 2015"
Nealsomyia rufella,(Pascoe),NA,Not pest (Predator),オオミノガヤドリバエ,Diptera,NA,Tachinidae,1992,NA,Insect,Palearctic(Asia),"Yamanaka, 2015"
Alebrasca actinidae,NA,syn (Alebrasca actinidiae),Outdoor,キウイヒメヨコバイ,Hemiptera,Auchenorrhyncha,Cicadellidae,1991,NA,Fruits,Palearctic(Asia),"Yamanaka, 2015"
Cryptotympana atrata,NA,NA,Outdoor,アカスジクマゼミ,Hemiptera,Auchenorrhyncha,Cicadellidae,2001,NA,Root,Palearctic(Asia),"Yamanaka, 2015"
Lycorma delicathula,NA,NA,Not pest,シタベニハゴロモ,Hemiptera,Auchenorrhyncha,Fulgoridae,2009,NA,Leaf (ニワウルシ等),Palearctic(Asia)  Indomalaya,"Yamanaka, 2015"
Dufouriellus ater,(Dufour),NA,Not pest (Predator),クロセスジハナカメムシ,Hemiptera,Prosorrhyncha,Anthocoridae,2009,NA,Insect,Palearctic(Europe),"Yamanaka, 2015"
Orius strigiecollis,NA,NA,BiolAge,タイリクヒメハナカメムシ,Hemiptera,Prosorrhyncha,Anthocoridae,NA,NA,Insect,Palearctic (Asia)  Indomalaya (Taiwan,"Yamanaka, 2015"
Cimex lectularis,Linnaeus,Common Bed Bug Hawaiian name: uku-lio,Sanit,トコジラミ,Hemiptera,Prosorrhyncha,Cimicidae,NA,NA,Animal,Palearctic(Europe),"Yamanaka, 2015"
Leptoglossus occidentalis,NA,NA,Tree,マツヘリカメムシ,Hemiptera,Prosorrhyncha,Coreidae,2008,NA,Leaf: Seeds,Nearctic,"Yamanaka, 2015"
Rhagadotarsus kraepelini,NA,NA,Not pest (Predator),トガリアメンボ,Hemiptera,Prosorrhyncha,Gerridae,2001,NA,Insect,Indomalaya  Australasia,"Yamanaka, 2015"
Cavelerius saccharivorus,(Okajima),NA,Outdoor,カンシャコバネナガカメムシ,Hemiptera,Prosorrhyncha,Lygaeidae,1924,NA,Root (サトウキビ),Indomalaya  Palearctic(Asia),"Yamanaka, 2015"
Pirkimerus japonicua,NA,NA,Tree,コガシラコバネナガカメムシ,Hemiptera,Prosorrhyncha,Lygaeidae,1954,NA,Leaf (ササ),Palearctic(Asia),"Yamanaka, 2015"
Agnocoris rubicundus,NA,(Falle'n),Tree,ヤナギアカカスミカメ,Hemiptera,Prosorrhyncha,Miridae,1999,NA,Leaf (ヤナギ),Palearctic(Europe),"Yamanaka, 2015"
Campyloneura virgula,NA,NA,Unknown,カグヤホソカスミカメ,Hemiptera,Prosorrhyncha,Miridae,2014,NA,Insect,Palearctic(Europe),"Yamanaka, 2015"
Mansoniella cinnamomi,NA,NA,Tree,クスベニヒラタカスミカメ,Hemiptera,Prosorrhyncha,Miridae,2015,NA,Leaf (クス),Indomalaya (Taiwan),"Yamanaka, 2015"
Megaloceroea recticornis,NA,NA,Unknown,ミドリホソナガカスミカメ,Hemiptera,Prosorrhyncha,Miridae,NA,NA,Leaf,NA,"Yamanaka, 2015"
Pantilius tunicatus,NA,NA,Tree,ヘリオオカスミカメ,Hemiptera,Prosorrhyncha,Miridae,2008,NA,Leaf,Palearctic(Europe),"Yamanaka, 2015"
Erthesina fullo,(Erichson),NA,Outdoor:Tree,キマダラカメムシ,Hemiptera,Prosorrhyncha,Pentatomidae,1783,NA,Leaf: Fruits (カキ),Indomalaya,"Yamanaka, 2015"
Leptoglossus australis,NA,NA,Outdoor:Greenhouse,アシビロヘリカメムシ,Hemiptera,Prosorrhyncha,Pentatomidae,2004,NA,Leaf,Paleartic(Asia) (Okinawa)  Indomalaya,"Yamanaka, 2015"
Paradasynus spinosus,NA,NA,Outdoor,ミナミトゲヘリカメムシ,Hemiptera,Prosorrhyncha,Pentatomidae,1973,NA,Leaf,Palearctic (Asia)  Indomalaya (Taiwan,"Yamanaka, 2015"
Rhacognathus　corniger,Hsiao & Cheng,NA,Unknown,トゲクチブトカメムシ,Hemiptera,Prosorrhyncha,Pentatomidae,1992,NA,NA,Palearctic(Asia),"Yamanaka, 2015"
Dysdercus cingulatus,NA,NA,Outdoor:Greenhouse,アカホシカメムシ,Hemiptera,Prosorrhyncha,Pyrrhocoroidea,2007,NA,Leaf,Paleartic(Asia) (Okinawa)  Indomalaya,"Yamanaka, 2015"
Agriosphodrus dohrni,(Linnaeus),NA,Not pest (Predator),ヨコヅナサシガメ,Hemiptera,Prosorrhyncha,Reduviidae,1935,NA,Insect,Indomalaya,"Yamanaka, 2015"
Tinna grassator,NA,NA,Not pest (Predator),ヒメアシナガサシガメ,Hemiptera,Prosorrhyncha,Reduviidae,1948,NA,Insect,NA,"Yamanaka, 2015"
Yolinus albopustulatus,NA,NA,Not pest (Predator),アトジロサシガメ,Hemiptera,Prosorrhyncha,Reduviidae,2014,NA,Insect,Palearctic(Asia)  China,"Yamanaka, 2015"
Corythucha ciliata,NA,NA,Tree,プラタナスグンバイ,Hemiptera,Prosorrhyncha,Tingidae,2001,NA,Leaf,Nearctic,"Yamanaka, 2015"
Corythucha marmorata,NA,NA,Not pest,アワダチソウグンバイ,Hemiptera,Prosorrhyncha,Tingidae,2000,NA,Leaf,Neotropic,"Yamanaka, 2015"
Dulinius conchatus,(Degeer),NA,Not pest,ヘクソカズラグンバイ,Hemiptera,Prosorrhyncha,Tingidae,1996,NA,Leaf,NA,"Yamanaka, 2015"
Aleurocanthus camelliae,NA,NA,Tree,チャトゲコナジラミ,Hemiptera,Sternorrhyncha,Aleyrodidae,2004,NA,Leaf,Palearctic (Asia),"Yamanaka, 2015"
Aleurocanthus spiniferus,(Quaintance),citrus spiny whitefly,Outdoor:Greenhouse:Tree,ミカントゲコナジラミ,Hemiptera,Sternorrhyncha,Aleyrodidae,1889,NA,Leaf (チャ): Fruits (カンキツ),Palearctic(Asia),"Yamanaka, 2015"
Bemisia argentifolii,BellowsandPerring,NA,Outdoor:Greenhouse:Tree,シルバーリーフコナジラミ,Hemiptera,Sternorrhyncha,Aleyrodidae,1989,NA,Leaf,Nearctic,"Yamanaka, 2015"
Bemisia tabaci,(Gennadius),tobacco whitefly,Outdoor:Greenhouse:Tree,タバココナジラミ type Q,Hemiptera,Sternorrhyncha,Aleyrodidae,1989,NA,Leaf,Nearctic,"Yamanaka, 2015"
Trialeurodes packardi,(Morrill),strawberry whitefly,Greenhouse,イチゴコナジラミ,Hemiptera,Sternorrhyncha,Aleyrodidae,1974,NA,Leaf: Fruits,Nearctic,"Yamanaka, 2015"
Trialeurodes vaporariorum,(Westwood),Greenhouse white fly :  greenhouse whitefly:glasshouse whitefly,Outdoor:Greenhouse:Tree,オンシツコナジラミ,Hemiptera,Sternorrhyncha,Aleyrodidae,1974,NA,Leaf: Fruits,Nearctic  Australasia,"Yamanaka, 2015"
Acyrthosiphon argus,NA,NA,Tree,ジンチョウゲヒゲナガアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1989,NA,Leaf(ジンチョウゲ),Palearctic(Asia),"Yamanaka, 2015"
Acyrthosiphon chelidonii,(Meigen),NA,Unknown,クサノオウヒゲナガアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1981,NA,Leaf,NA,"Yamanaka, 2015"
Aphis fabae,Scopoli,black bean aphid,Outdoor,マメクロアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1994,NA,Leaf,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Aphis fabae solanella,Theobald,NA,Outdoor,イヌホウズキクロアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1989,NA,Leaf(イヌホウズキ),Palearctic(Europe),"Yamanaka, 2015"
Aphis hederae,NA,NA,Greenhouse,キヅタクロアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,NA,NA,Leaf,NA,"Yamanaka, 2015"
Aphis nerii,Boyer de Fonscolombe,Oleander Aphid,Tree,キョウチクトウアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,NA,NA,Leaf,Palearctic(Asia),"Yamanaka, 2015"
Aphis oenotherae,Oestlund,NA,Not pest,マツヨイグサアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,2001,NA,Leaf,Nearctic,"Yamanaka, 2015"
Aphis sp,NA,NA,Not pest,ツメクサアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,2001,NA,Leaf,Palearctic(Europe),"Yamanaka, 2015"
Aphis taraxacicola,NA,NA,Not pest,タンポポアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1983,NA,Leaf,Palearctic(Europe),"Yamanaka, 2015"
Dysaphis tulipae,(Boyer de Fonscolombe),tulip aphid:tulip bulb aphid,Greenhouse,チューリップネアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1940,NA,Leaf: Root,Nearctic,"Yamanaka, 2015"
Eriosoma lanigerum,NA,Woolly aphis of apple trees,Outdoor,リンゴワタムシ,Hemiptera,Sternorrhyncha,Aphididae,1873,NA,Leaf: Fruits,Nearctic,"Yamanaka, 2015"
Hysteroneura setariae,NA,NA,Unknown,ホモノクロアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,NA,NA,Leaf,NA,"Yamanaka, 2015"
Illinoia lambersi,NA,NA,Tree,ツツジヒゲナガアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1985,NA,Leaf,NA,"Yamanaka, 2015"
Illinoia liriodendri,NA,NA,Tree,ユリノキヒゲナガアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1997,NA,Leaf(ユリノキ),Nearctic,"Yamanaka, 2015"
Macrosiphum euphorbiae,(Thomas),Potato aphid :  potato aphid:tomato aphid,Outdoor:Greenhouse,チューリップヒゲナガアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1964,NA,Leaf,Nearctic,"Yamanaka, 2015"
Metopolophium dirhodum,(Walker),Roesel’s Katydid,Outdoor,ムギウスイロアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1988,NA,Leaf,Palearctic(Europe),"Yamanaka, 2015"
Myzus ornatus,Laing,Ornate aphid,Greenhouse,スミレコブアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1981,NA,Leaf,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
