ORDER,FAMILY,GENUS SPECIES,YEAR,origin,STATUS,REFERENCE,Intentional_Release,source,established_indoors_or_outdoors
Coleoptera,Bruchidae,Bruchus pisorum,1910s,Cos [Mediterranean],P,Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",Out
Coleoptera,Bruchidae,Bruchus rufimanus,1930s,Cos [Europe],P,Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",Out
Coleoptera,Bruchidae,Callosobruchus chinensis,"NA",Cos [SE Asia],P,Lee (1996; Appendix I),"NA","Hong, 2012",Out
Coleoptera,Anthribidae,Araecerus fasciculatus,1926,Cos,P (indoor),Yokoo and Taguchi (1939),"NA","Hong, 2012",In
Coleoptera,Curculionidae,Craponius inaequalis,1918,Nea [USA],Pâ€  (disappeared),Muramastsu (1918),"NA","Hong, 2012",Out
Coleoptera,Curculionidae,Ceutorhynchus obstrictus,1995,Pal [Europe],P*,Hong et al. (2000),"NA","Hong, 2012",Out
Coleoptera,Curculionidae,Hypera postica,1994,"Pal, Ori, Nea",P*,Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",Out
Coleoptera,Curculionidae,Hypera punctata,1993,"Pal, Nea",Non P,Hong et al. (2000),"NA","Hong, 2012",Out
Coleoptera,Curculionidae,Lissorhoptrus oryzophilus,1988,"Pal, Nea [USA]",P*,Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",Out
Coleoptera,Curculionidae,Listroderes costrirostris,1989,"Pal, Eth, Aus, Nea,Net [Brazil]",P*,Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",Out
Coleoptera,Curculionidae,Orchidophilus ran,1988,Ori,P* (indoor; disappeared),Choi et al. (1992),"NA","Hong, 2012",In
Coleoptera,Curculionidae,Rhinoncus perpendicularis,1997,Pal [Europe],Non P,Hong et al. (2000),"NA","Hong, 2012",Out
Coleoptera,Curculionidae,Sitona hispidulus,"NA",Pal,P*,Lee (1996; Appendix I),"NA","Hong, 2012",Out
Coleoptera,Curculionidae,Sitona lineatus,1993,"Pal, Nea",P*,Hong et al. (2000),"NA","Hong, 2012",Out
Coleoptera,Dryophthoridae,Cosmopolites sordidus,1983,"Ori, Eth, Net",P* (indoor; disappeared),Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",In
Coleoptera,Dryophthoridae,Nassophasis aspericollis,1998,Ori,P*â€  (indoor; disappeared),Hong (2000),"NA","Hong, 2012",In
Coleoptera,Dryophthoridae,Sphenophorus venatus vestitus,2008,Nea [N. America],P*â€  (disappeared),Yang et al. (2009); NPQS (2010b),"NA","Hong, 2012",Out
Hymenoptera,Encyrtidae,Anicetus beneficus,1975,Ori [China?],NE (intentionally),Lee (1996; Appendix I),I,"Hong, 2012",Out
